"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41"
"1","输气管道","吉泰","两条线","用户","金川","和谐","救济","职能","爱疆","滥","储量","推广先进","令人鼓舞","课本费","投产","持平","增长","宽广","交易会","珠江流域","工程","余万","霍","机","昆","对内","煤层气","势力","批发","第十二次","下跌","敬业","第四次","工作","进度","净化","库容","陡坡","查验","外汇收入","南北疆"
"2","应用型","年来","就近","工业产品","差异化","等家","拒腐防变","取向","使用权","空间规划","发展史","自主权","禁止","激活","赔偿","挂职","重点","雄风","涉外经济","不宜","提高","正以","趋势","就业指导","三年","经营规模","制糖业","战胜","编制工作","感染","历年","下坂地","汲取","实施","技术水平","交织","特派员","第三届","通报","电动汽车","汗水"
"3","名片","便利化","滇西","心","自觉","万例","运转","以人","过硬","兴起","一季度","专","二级","传染性","电能","质量检验","农村","衬底","地表水","区及","产业","尽力","友城","力作","托幼","近倍","净水","制药","脊梁","出生","从业人员","店个","旅游城","经济","超前发展","齐全","科学管理","政令","领导人","里程","中新"
"4","宣传教育","歌舞","所向","更高","穿","岁","法院","万村","二产","国际性","友谊关","亲自","宝骏","总需求","逝世","衡量","投资","餐桌","脱","巡回赛","一批","扯皮","一策","东德","广州","招待费","班子","再生能源","计划指标","精彩纷呈","侵权","舒","放在心上","亿元","亮丽","主战场","社会安定","国家开发银行","技师","村通","购并"
"5","城乡人民","成熟","陆路","同心","干支流","互信","始终不渝","干警","布局","粤港澳","小微","深山","管理人员","不高","市政建设","马克思列宁主义","就业","大赛","最快","险","生产","贷","自律","尽早","节本","愿","民","明显提高","文体活动","铟","充满生机","骨干企业","微","社会","磷","真贫","无愧于","退税率","知法","继续抓好","关键时期"
"6","军地","加工区","民俗风情","不出","关键在于","肉羊","川气","放映","站","服务体系","投工","弥蒙","兆瓦","为民","新亮点","平息","经济","形象设计","增长极","深圳","政策","丰林","甲醇","严格遵守","策划","占领","卫生事业","分配机制","自然科学","来自","万立方米","条例","统筹","企业","或同","重点难点","新一极","坚强意志","深入调查","国际金融组织","就业门路"
"7","直通","层级","非常规","去向","为功","有序","阿图什市","萍乡市","核","健全制度","修志","路段","煤制","创建活动","可比价格","艰难险阻","管理","反复","实","之气","深化","五象","建好","深入研究","想办","公积金","强劲","薄板","第八次","下沉","共圆","中南半岛","打防结合","进一步","强基增","取得成功","锌","触及","增值税","扶优扶强","嘉年华"
"8","欧洲","清缴","瓦斯","科学规范","实验教学","实用技术","贫困乡","城管","六大","文艺团体","多万名","演出","配送","成长型","工矿区","义务","教育","建筑材料","饮水困难","派出所","增强","第十三届","正由","戒","人口数量","化肥","港澳台","金谷","第五届","亚洲","婺源","抵御","核算","政府","块","环境优美","风力","探明","準确","裂变","广电集团"
"9","采用","因灾","成绩","改革开放","分析判断","关","技术人员","罕见","土地增值","可研","住房补贴","床位","活","内设","承建","南昌县","力度","顶","粗放型","开创","增加","全运会","内力","森林","沿路","庆典活动","新一轮","孕产妇","条块分割","不该","审计","比赛","建筑业","完善","有偿转让","精神家园","国债资金","落实到户","跨过","交流活动","万支"
"10","落","告别","铜","高技术","整族","低价","嵩明","荒漠","参公","离子","喝","保险金","御","生物科技","响应","摆在","服务","石嘴山","好字","撤并","落实","公安","评先","对外商","指挥中心","先导","阿尔泰山","次贷","保护地","山","福利事业","额尔齐斯河","宜州","改革","兼薪","社会科学","优抚","飞行","农机化","基本路线","钍"
