"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35"
"1","糖","同比","第一批","专款","抗灾","竞技","工作","呈贡","废气","稳定","转制","可比价格","稳定性","人民政府","根基","不辱使命","领先水平","柑橘","钱","腐败分子","两路","降至","不断创新","塔里木","重要职责","跨国公司","年初","打黑","南博会","勘界","无毒","进位","万村","权能","精准"
"2","牢","滚动","第十四次","建议书","一流大学","马克思列宁主义","经济","工青妇","蔬菜基地","政策","共克","运营","果品","机械化","跟进","因病","森林抚育","自贸区","考核制","营业税","整","西新","海铁","建昌","继续前进","治区","双十","华","初次","公益林","牛羊肉","营业执照","出版事业","一类","继续加强"
"3","疫苗","三产","四要","说","砷","种植业","增长","岩","客观规律","城市","不利于","时代精神","加密","税务","能量","刘三姐","京津","全心全意","水产品","多重","六寨","生产布局","紧紧","天更蓝","产前","通报","期货","施","零售","处置","批示","倒塌","书","地州","统计"
"4","占到","万多户","阿拉善","滇南","充分运用","提前","社会","考核办法","防城","抓好","限度","激励","平均水平","知法","昌河","债权","疾病防治","创作","物流配送","获准","央企入","省直","新品种","缺水","技术装备","打下","裕民","迪庆","一系列","民间组织","罢免","校企","入住","幼儿园","通信"
"5","征税","不出","近几年来","工业园区","截污","开业","实施","年桂台","甲醇","建立","云南大学","敷衍塞责","在思想上","听证","分期分批","国土","锡林郭勒","响应","东联","百强","接访","旱灾","机关效能","筹备工作","识别","寄宿生","致富","汉语","磷","储粮","申请量","良好环境","优秀人才","汇集","小康"
"6","沾","封禁","义务兵","禁牧","珠三角","转移性","重点","补偿金","再","资源","各种因素","香蕉","金融体制","越南","店家","现场","不快","长期保持","置","湖草","砚山","石墨","用来","沟通","人民警察","尽力而为","涉及","勤政廉政","避难","恶性事故","北方","纳税","教训","保护性","权"
"7","招待费","刑事","消费观念","海水","住所","统筹规划","改革","云计算","分配关系","环境","良好基础","轻轨","促销","超市","之忧","苜蓿","地质","利润率","制糖业","大气","信息流","南广","的立","逐年","世博","乡镇企业","丰林","编制工作","留有","科学院","结余","农贸","肉蛋","机器人","议案"
"8","加工工业","富蕴","商品价格","发明创造","药用","表率","企业","理性","党和人民","新增","狠抓落实","灌阳","覆盖","半","一部分","装备","回头","根","欧菲光","供热","英","检疫","局","汉族","试行","办理","彝","陆地","所属","主产区","占有率","向心力","人力资本","谱写","相"
"9","税收政策","奢侈浪费","奋发图强","专题报告","工程院","划区","提高","嫩江","两倍","民生","托克逊","个盟市","困","营商","教学改革","业务精","坡","挂","干净水","村村","年龄","厂办","奶农","廉洁","迎来","种草","严厉","辽","孩子","速","战略地位","粮农","总装机","系列","稳步发展"
"10","高寒","课程","供需","委会","方位","一票否决制","亿元","隐蔽","第三位","方式","院团","凡","重拳","两位数","借","主干道","运","找准","扰乱","劳保","稳固","固体废物","昌抚","极度","授权量","中信","跨入","面前","环节","市政建设","费用","培育出","农商","暴恐","正确处理"
