"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37"
"1","同呼吸","军民关系","产业","远洋","购物","文化遗产","利润总额","额尔齐斯河","城镇","联谊","美化","致以","简化","大力开展","均衡性","养","不断改进","脱困","新旧","经济","失业率","兴业","深厚","在建","驾驭","杂费","河长制","石滩","中等","财政投入","文学","降碳","怒江","宁蒗","政府部门","密切联系","五县"
"2","锐意进取","文明单位","国家","精神财富","保障性","调度","工业品","显现","教育","清真寺","实施办法","公务员","非国有","多项","贫困面","一产上","重化工","东站","商品房","工作","咖啡","石化工业","万间","省校","大港","教","果品","创新能力","钱","消防安全","城化","大军","协会","德厚","放手","情","六寨"
"3","集团","聚氯乙烯","稳定","豪","廉洁奉公","劳动报酬","气力","经济杠杆","切实","民俗","总产值","沥青路","安心","九大","旅游景点","绿色通道","勇于","甲型","英","增长","水城","应有","养","洪涝","四维","住宅区","十运会","转让","达万人","面向农村","先进经验","兵","人人","碳酸钙","配备","旧城区","印染"
"4","锌","达标率","一批","金属","困难职工","独生子女","梯田","话","机制","监事会","民族宗教","农牧林","通高","生物化工","宜居城市","凤凰","用水量","产品质量","香港","社会","主力","漏","民航","知情","泉","大米","非公经济","尼尔","产","终身教育","生态型","内涵式","赛维","首问","寻乌","扶优扶强","量力而行"
"5","洽谈","纸","战略","大区","与时俱进","繁荣","构建","多件","各项","百里","阳光工程","中小城镇","积案","货物","和平","实情","孕产妇","六十周年","应保","提高","许可证","建材行业","供销社","除尘","甲醇","办复","保险机构","山川","班轮","用于","促进法","获取","后期","践行","规范化","巨变","失学"
"6","关键性","书写","结构","干部人事","姿态","签约","四化","不予","方式","日趋","快速增长","职能作用","操作规程","粗","灌阳","交通","无序","中流砥柱","自豪感","重点","乌鲁木齐机场","名优产品","城市布局","深入细致","客专","财产权","长水","不力","一届","筹融资","泰和","和睦相处","原则","青山绿水","毫不动摇","条块分割","环境治理"
"7","民主制度","旺","农民","全局性","忘","初步解决","前置","一揽子","能力","小额贷款","蒙古语","国电","凌云","引技","智","医疗保健","漂浮","高潮","群防","实施","右江","坏帐","面对","科学论证","谋划","通","本地","荣誉","试行","办公用房","丰收","治","一岗双责","稀有金属","好省","非农","水电"
"8","产后","月份","服务业","使节","铁路干线","姑息","长江","矫正","和谐","教育资源","高度一致","车辆","多所","洽谈会","鲁","跟踪","扎","中职","至硕龙","企业","驮","尽量","小康生活","转化率","征途","第一线","沿海地区","白沙","花山","广度","村点","指数","大型","经开区","适宜","金沙江","住"
"9","基层干部","迫切","质量","块","供销系统","仓储业","送电","邪教","开工","高技术","国有产权","宗教事务","内设","高龄","平等竞争","可望","祖国","日韩","封建迷信","改革","心连心","柳汽","教育疏导","绿","定为","危中","空","自住","三年","五区","农业税","采选","固本","技术含量","预备","加重","监理"
"10","东部","全党","万人","华广","数字电视","联合国教科文组织","岩","因城","条件","价格","煤制气","勤劳","汽油","丽","拍卖","民族音乐","武宁","公共利益","城川","农村","有个","陆海","大榄坪","容量","从元","印发","扫盲","蕴含","经济区","消费税","出口产品","在职","农补","过头","廊","青山","若干"
