"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37"
"1","人口老龄化","尽收","撬动","输出","制度","通用","腐败","云药","薄弱","外资企业","天山南北","拥护","材","侵害","深远","政资","总体水平","所系","人事制度","订单","牛羊肉","预备","经济","南京","升格","节约资源","附属","世贸组织","配套工程","多项","总体方案","发","产前","宪法","高龄","移交","个人所得税"
"2","科研成果","转为","智能化","产品出口","市场","意愿","超常规","情","居住","在城镇","争创","公职人员","持股","回应","招聘","储蓄存款","片区","拉","大城市","资本运作","平均工资","棚改","工作","呼张","服从","康","成品油","报刊","奔小康","内生","京","届满","海拉尔","注重","地表水","面积","无线"
"3","筹划","故事","钉钉子","商用","新增","资金流","放在首位","抚","关键","民主制度","辉煌成就","养护","令行禁止","理念","延续","授课","农事","主干","优秀人才","通路","世贸组织","投资规模","增长","驮","大学城","至罗","灾难","迪庆","同心协力","原产地","玛纳斯","永续","县通","稳中有","资源优势","孤残","大力开展"
"4","旧","私营","林权","停建","城乡","进城","领导班子","和谐社会","经济社会","赴","余额","牵引","修订","生命","修建","树立","苜蓿","农药","少取","全线通车","清查","火车","社会","境界","新加坡","西双版纳州","南岸","轻工业","欧美","职能作用","教训","规矩","汇报","过高","成人","高效率","轮式"
"5","贫血","兴边","丰硕成果","长久","改造","共同愿望","资源税","重化工业","乌昌","创造性地","镇","工艺","空间规划","污水","现行标准","龙头","过渡期","肉牛","平","路气","熟悉","医改","重点","艺术创作","核准","食品工业","新面貌","场站","权威","前移","马铃薯","综合信息","荒山","展","建市","百色起义","月"
"6","总额","保护区","隐性","检","农民","疏通","供销","创立","海昏","寻租","亮点","患者","四级","大中小型","输气管道","保险资金","美元","全心全意","逐步形成","处于","牧","扬尘","提高","价格政策","农房","农林牧渔","能耗","以低","奢侈浪费","吸引外资","结构性","生物质","促农","安全隐患","河内","福建","贵"
"7","克","营","签署","停车场","中央","连队","省运会","争做","弥蒙","温家宝","清","文献","慢","一同","数万人","贯通","参股","破除","截流","商务","坊","稳疆","实施","锡","广西师范大学","监督","赣抚","艺术性","轻轨","行稳","吸收","胚胎","非常规","知","托克逊","吨级","越权"
"8","称号","责问","基金会","看得见","公共","互动","自由贸易","同等","结对","制糖","脱硝","思想路线","大好","对策","初次","广东","集体","办复","办事处","团结一心","不竭","兴业","企业","工业布局","快于","高寒","策","炒作","万标箱","好日子","脱困","二连","放映","工作组","人均","逐步推进","峰"
"9","孕前","续建","高产","窗口","整治","低速","出生率","复员","峡","地上","万千瓦","明月山","株","担责","及早","复垦","大港","条块分割","风","两广","国土","一届","改革","上下游","列为","自强","铁南","不想","能源工业","林地","航班","中专","向省","扩面","法律顾问","劳动人事","乘势而上"
"10","灵渠","加工型","恢复","水泥路","社会保障","科学管理","文明城市","前行","工作队","代理","北运","按期","了省","第三条","老口","灾后","福利待遇","国际金融","革命","健康","第二","加大力度","农村","光宝","关注","事中","支教","贸易中心","国","水电","美好前景","公斤","末梢","载体","小户型","双十","拉大"
