"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42"
"1","公交","重点","各市县","稅","利润总额","扭亏为盈","巴马","外运","救急","试行","主动进攻","不实","扩张","煤制","温暖","沾","都","着力","滇南","型","诚信","经济","门路","位次","收购","诚挚","承前启后","沼气池","严管","合理安排","尊严","交汇","农牧民","班列","锡","标準化","承载","占有率","军警民","反分裂","免收","临河"
"2","巴马","稳定","火灾","打通","列车","香","第一产业","共同奋斗","中极","评定","等七大","大军","水产","机关效能","萎缩","坚定","世贸组织","优化","信托","交流会","质询","工作","用车","三项","村容","兜底","万村","萍乡市","非常规","定点","科学研究","变中","d","购房","紧迫","肇庆","率先","疫病","贫困生","适宜","思茅","英才"
"3","大型化","合作","业主","越权","金川","乳品","互译","百万","中新","锅炉","加以克服","基本纲领","二极管","永不","腐败现象","创业资金","集团公司","财政","虚报","中小学校","回头","增长","两手","喷灌","不断改进","课题","位","汽车城","聚集区","一盘棋","并联","产地","落到实处","农村基层","煤制气","壮","一号线","民俗","开园","区","文风","公用设施"
"4","草食","规划","网网","舆情","成份","翻番","各族","资质","价值","金融体系","陆上","现象","整","之利","赞誉","客运量","支柱","经济社会","力作","攻","熔炉","社会","昆明市","进取","恳谈会","例","干线","疑难","中游","市民化","带头","区域规划","玉磨","盗版","动漫","不该","留学人员","参政议政","瓦","提高素质","广通","古民居"
"5","给排水","改造","航程","十二五","都市区","电容量","冶","减速","里程碑","改厕","全球化","首座","精湛","报账","洪涝灾害","自治州","升","环境","造","必先","价值链","提高","有人","根基","着眼","餐饮业","残运会","时机","集中力量","桑蚕","校长","党和国家","档次","万平方公里","联动机制","量","统一规划","用水","散","转为","楼","热潮"
"6","购","领域","发表","吸收","理财","供储","幸福生活","健全法制","不进则退","下移","行路难","去年初","那坡","供暖","土坯房","吐曼河","权利","做","工业体系","抗税","医疗保险","实施","洁净","亏损","酒","对个","硅","力求","职业道德","有效性","异常","守住","积极争取","所有权","博士学位","车辆","油运","承诺制","广电集团","宗教","财政投入","北海市"
"7","动员","特色","经济林木","实用技术","门诊","暂免","还贷","渎职","茅草","桥","农补","住房条件","百镇","改道","深度","并流","辅","土地","实习","呆","医院","企业","就业指导","人均","桩","成套设备","势头","木卡姆","保障金","忧患意识","领先水平","洽谈会","扩区","更为重要","全域","绿色食品","境界","大力提高","抗爆","征管","复明","疫区"
"8","绝大多数","资金","七年","财稅","外贸","优待金","所需","连片","比率","吨","前向","展现","图谋","总揽全局","运","坚决执行","工匠","中小企业","微型汽车","客观","修补","改革","晶","全科","销售总额","倒逼","铝土矿","懂法","信江","虚报","就医","选派","林业","钉钉子","普惠","整理","超出","消化","西向","累进","周永康","高校后勤"
"9","不合理","中心","省里","骑楼","新品种","区个","真","寄宿制","邕宁","研制","绰勒","机电产品","基多","重大事故","安定","全南","拆","牧区","案","老百姓","红军","农村","特定","播放","行政区","地矿局","壮乡","要带头","大办","运输网络","住院","道德","历年来","关怀","放到","时间","检","字","市场潜力","文化园","豆类","坚韧性"
"10","混合","切实","荔浦","市场规律","载体","康养","农民工","紧扣","硕","生物科技","始终不渝","节支","东至","购车","迈入","新疆大学","事迹","成果","嚣张气焰","十五大","盛会","亿元","碰到","赶上","高效率","用来","涉爆","种类","城乡居民","十一次","矿","建国以来","通屯","结算","冷藏","部","法制观念","辛勤工作","郑州","中国联通","等同","三院"
