"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35"
"1","宁波","管制","冲突","水稻","填补","文献","重大任务","通报情况","佳绩","行政复议","无公害","特色","比上","带头","憨","一品","主线","经济","再生","纠正","一所","石城","有机硅","低产","认真学习","发展潜力","恢复","腐","抓好","家业","薪酬","积蓄","杜绝","境界","超低"
"2","总理","党委","乳业","铜镍","用好","软件","特殊人群","中极","高端化","通报","包","监督","十次","灭火","宽广","公共政策","排第位","工作","大接访","节约型","假","美术馆","保护主义","增效益","水电站","食用菌","南昌市","优待","综合","干部作风","不负","名特优新","形式多样","两次","服务行业"
"3","迅猛发展","放到","预报","本土","监督制约","担负起","苜蓿","应有","前沿","放大","招商引资","设施","无效","切块","湛江","理想","三证","增长","便民","华商","修","代理","末梢","百色市","高峰","由个","统调","转企","城乡","忧","游牧民","东南","民俗文化","难事","市容"
"4","用水量","伟大旗帜","遭受","现行标准","充分考虑","岸线","小区","本专科","用电量","报批","依赖","城镇居民","家具","公布","北运","定价","民族乡","社会","传统媒体","规范","开征","面上","服务网","奢侈浪费","替代","近","财政管理","市民","强化","积案","市级","拨付","阅读","偷税","入赣"
"5","法定化","具备","机","客家","办学","检","黑臭","规矩","下功夫","克","收尾","利用","研讨会","产教","增多","建设者","塔里木盆地","实施","看齐","储粮","近年来","洪涝","新风尚","着眼点","热电厂","山洪","惩治","致贫","中心","吨级","加","输出","公众","二极管","爬坡"
"6","第三批","对户","鼓舞人心","在线","违约","贡献","双语","领先水平","达户","教学改革","留人","研究","申建","共有","特岗","惠民","开展调查","提高","清除","一倍","劳教","景谷","营业执照","不利于","灌阳","审","有序","难点","基地","演艺","无望","砷","装潢","小微","面向农村"
"7","工商","共克","老人","的立","登上","牛","价","海域","深感","投身","执法","指导","大业","以城带","转机","联合国","持之以恒","企业","变相","若干","清醒认识","领导人","总需求","勤俭","机关干部","六十周年","人尽其才","南博会","万人","人口素质","峡江","搬","黑名单","照章","失职"
"8","信念","一策","安居房","至硕龙","立足点","公益林","身体健康","世界观","负面","离退休","事关","万户","开采权","输水","光","节支","组合拳","重点","建党","十一届","温","好个","缓坡","双向","一产","进港","万人次","受灾人口","维护","焕发","体察民情","自来水","铁矿","茧","更是"
"9","可控","一村","在职","驮英","生猪","清欠","新开通","万张","咨询","民营","石漠化","提出","锐意","大灾","促进法","新兴产业","二中","改革","专线","整体效益","大道","物业管理","海外侨胞","调配","通水","条例","采矿","特殊津贴","体制改革","开港","外运","公益事业","下发","一口","当头"
"10","必由之路","三大","产城","号角","优质棉","行路难","根据上述","消费水平","漂白","亿公斤","文体","零售总额","找","烧碱","九年制","普遍提高","矛盾","农村","全局性","路线","党纪国法","监测","诈骗","星火","舌尖","富蕴","文明单位","教育引导","标准","网网","校长","目的","称号","主体资格","人工智能"
