"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40"
"1","经济","试点工作"",","智能化","高层","""肯定","亮点","公报","郑州","羊肉","采选","无线","视频","路线","故事","一站式","向省","转业","最具","团结一致","活","创新","总额","韩","岛","风险投资","不予","一要","根基","公厕","起点","破坏活动","南北","惩治","合理流动","
""区域性","""重点项目","小草","扶持"",","崇尚","宾馆"
"2","工作","平等竞争","辉煌"",","湛江","受益","一票否决","果品","作业区","初心","推广先进","住宅区","科学规范","挂","开发","共享","数控机床","追求","劳模","两带","港澳","体系","差异化","港口","微利","加工业"",","贵金属","贝利","优势产业","服装业","过渡期","图书","""努力提高","钦防","取暖","三股","蒙药","蔗糖","比重"",","领先","封锁"
"3","增长","加剧","羊绒","偏远","符合条件","通用五菱","产区","小额","地勘","联合开发","经济林","缴纳","僵尸","""战略性","民俗文化","迈上","""进一步提高","保护措施","深入群众","鲜活","投资","三峡","疑难","生态"",","勘探","立体式","县际","百亿","负债表","等七大","执业","电商","疆电外","反腐","扭亏","非金融","创业者","中关村","""成功","防线"
"4","社会","个人帐户","牛","适龄","创业"",","同登","新台阶"",","教学质量","矿业","科学论证","聚焦","调配","码","管理体系","文盲","之路"",","拥军","升级"",","总需求","里程碑","推动","外向型","之多","海昏","水务","联欢","时有发生","一种","能源消耗","东巴","项"",","城西","港澳","责问","粮","好个","扫除","畜禽","报批","舆论监督"","
"5","提高","弱化","
""稳妥","友好城市","白沙","直面","拖欠","奋勇争先","增","人民团体","经得起","正确","过境","落实工作","职级","月底","蒙东","既有","重大突破","更多","合作","进村","百亿","切实有力","恪守","发放贷款","撤地","投工","为首","平乐","游牧民","光网","下滑","高品质","高龄","孤儿","责任制"",","长效机制"",","战略重点","勇于探索"
"6","企业","抗灾","村通","蓝天","零售额","通村","脊梁","汲取","养护","企业职工","世界","七一","体育场馆","赣抚","运动","铲除","产前","口径","头","爱心","稳定","报","精密","""对口","新高"",","外汇收入","依法行政","推","各项规定","奖代补","批发市场","跨越","外环","小湾","小金库","多予","灵敏","查","自动","医学"
"7","实施","输电","鼓舞人心","截流","勘界","养老保险金","遗留问题"",","涨幅"",","文博会","终身教育","证券","一份","洁净","虚假","
""牢固","创年","障碍","产值","劳务","所属","基础设施","犯罪活动"",","全线贯通","千户","晶","领导人","缓缴","民航机场","初见成效","走势","布局调整","位","禁令","""固定资产","年金","
""电力","根本保证","有错必纠","接二连三","供销"
"8","重点","监控","涉农","挖掘潜力","选聘","
""办好","紧扣","时限","""石油","
""一是","采取措施","指导员","""发展壮大","挖潜","重点项目","信任","美国","高校学生","培养人才","发展势头","生活","家属","好字","强势","武装头脑","提取","万个","安置工作","红线"",","丰林","水毁","分级管理","边远地区","外贸","死亡","部际","先","四湖","气象预报","指明"
"9","改革","抽水","多名","因地","共生","""行政","切实加强","损害赔偿","
""目标","存款","""特色","炼化","以内"",","平稳","
""全面落实","武汉","失职","滥","区域开发","孕育","保护","烟","水电","成矿","流失","安居乐业","宁波","跑","带动性","两种","尊重人才","切入点","荣获","
""切实","会计","高压","审查","苦干实干","珍贵","最多"","
"10","农村","作风"",","趋于","执法不严","一条龙","规矩","商贸业","储量","密切配合","分税制","年收入","承包","两千","下降"",","创业"",","博览会"",","师资队伍","古建筑","装潢","强弱","保障","信息产业","开发利用"",","小勐养","
""工作"",","查询","区划","忧","收","对口","访问","擅自","""去","工作岗位","购进","平方公里","工厂","蒙山","万左右","融资额"
