"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19"
"1","责","景谷","工作","比上","经济","法律手段","权","网上","政府","私营企业","按期","专利申请","储备库","明月山","化学工业","租房","技术性","赣商","千伏"
"2","住房条件","就业人数","完善","公务员法","提高","总揽全局","外贸","非农","水平","州","缴纳","华","海铁","冲击","广覆盖","道","公用设施","代表团","思"
"3","部际","责任感","增长","粮经","企业","法制化","抢","满","工作","公益林","煤制气","灭火","高压","择业","通气","拥政爱民","各县","普惠性","二氧化碳"
"4","核心技术","重化工业","投资","呵护","改革","持平","暴力犯罪","农民负担","增长","农村居民","二要","拥军","矿业","违反","孕育","年限","核","报销","企沙"
"5","糖料","重点难点","工程","楼","社会","林场","尊重","缓","国家","户户","勤奋工作","平果","划定","什","跃居","配套工程","舆情","优质服务","地勘"
"6","治国","四项","文化","庭院经济","重点","堵塞","海绵","维权","稳定","防震","成人教育","风险投资","建设项目","文盲","草地","生物资源","铜牌","理论体系","头等大事"
"7","十次","十六届","制度","兴安","实施","氮氧化物","蒙东","精神家园","教育","西气东","合浦","中型","建疆","烧碱","较大","本省","四是","催人奋进","九是"
"8","有碍","产地","创新","感情","农村","一手","下大","青年","亿元","紧张","客家","先照","干净","事迹","岩","美德","大型化","马","莲花"
"9","阵地","岗位补贴","农业","品种改良","项目","对敌","这条","实施办法","增加","第个","交易会","万达","批发","平均工资","所用","保险金","蔬菜基地","发现","引资"
"10","放到","前期工作","亿元","修造船","产业","辽","三线","温暖","工业","涉","历程","食用菌","商业保险","骨干教师","多方","列入","学风","评估","撬动"
