"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11"
"1","防疫","电","挪用","展会","警务","奎","金融中心","经济","凸显","工作","生态系统"
"2","翻番","防震","乡","土地出让","错综复杂","阶梯","卫生保健","提高","生态农业","社会","云岭"
"3","动能","红色","时刻","高度负责","多措","医疗保健","工资制度","农村","建成区","改革","入境"
"4","奋力","控制性","途径","物","机构编制","攻克","装机容量","亿元","实","政府","万众"
"5","备战","冰冻","齐飞","能源消耗","船闸","平果","复兴","体系","引擎","进一步","聚集区"
"6","减贫","贯彻实施","品牌","果","宗教事务","怒江","财政补贴","文化","稳中","企业","弥足珍贵"
"7","充分就业","法律法规","风险投资","对外开放","集散地","名村","明","教育","受理","投资","三化"
"8","上海","央企","工程进度","教育资源","行业协会","嫁接","腐败分子","重点","治疆","产业","敬业"
"9","老区","校企","美术馆","科技人员","扩容","装机","创造性地","国家","提倡","工程","修订"
"10","节庆","日趋完善","普遍提高","消费者","陡坡","分宜","等家","增长","妇幼保健","完善","净土"
