"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38"
"1","兴农","九年制","市场调节","各个方面","较强","净空","整理","采取措施","有偿","视察","转业","马克思列宁主义","土坯房","呼声","亲","河谷","治省","创收","再生","
""十二五","锂电","费","增长","世博会","低效","绿色通道","享有","经济","先导","不利于","加密","筹融资","新篇章"",","空","友好城市","城镇群","教育"",","
""清醒"
"2","一抓到底","革命","健身","矿","传导","产权制度","办好事","银川","岱海","防线","地区"",","
""精准","红花","安排"",","人"",","责任感","中蒙","中期","兴安","本土","安居乐业","万亿元"",","社会","
""兵团","重任","税种","碳酸钙","工作","驻疆","
""努力提高","畅通","不大","放","社会福利","第三季度","棉纺","
""公共","区域规划"
"3","政务信息","涨价","中共","丰收","处置","院团","省内","拓展","争做","天津","流浪","围","挑起","之中","无水","南昆","雨雪","""一是","水土流失","足额","严明","采选","提高","
""八是","税制","画派","成效显著"",","改革","上下游","盈江","打印","违法犯罪","连通","深山","经济总量","责问","特殊津贴","接受"
"4","亿头","尖锐","征用","一号线","生态"",","标准"",","涉农","争议","坚信","环渤海","方略","清","钥匙","年产值","两岸","基本思路","""中国","法律顾问","服务网络","赔偿","深度"",","赣东","工程","研究所","示范园区","后期","云岭","企业","歧视","""切实加强","地矿局","非公有","双千","庸","野生","缓","保税","结对"
"5","摆到","宪法","非公","体制"",","面临","联","立区","产品产量","
""固定资产","三产","京","投资"",","补贴"",","基础","管理机构","
""去年","客运专线","海峡两岸","许可证","低压","蓝","额尔齐斯河","进一步","经济效益"",","收益","临桂","超级稻","实施","医改","高级","庙","取信于民","批发","病虫害","两个","
""成立","加大"",","""生态环境"
"6","假日","旅游胜地","不通","瘦身","浮夸","御","整改","愿望","救济","美好"",","城镇人口","才能","大通道"",","华商","建昌","永磁","形式多样","银牌","学院","稳粮","谦虚谨慎","移交","力度","餐桌","公司","全力支持","水务","农村","尽心尽力","中泰","住房"",","文艺作品","空间规划","事务","尽职尽责","""稳妥","一体","岗位补贴"
"7","个户","讬","机器人","好省","干部队伍","工业布局","出资人","第十二个","若干","保尽保"",","设施"",","精神风貌","高新技术","二氧化碳","
""传统产业","精神面貌","工商户","投工","海","楚","县政府","""固定资产","生态","
""国民经济","侯国","较快","奢靡","重点","两轮","无线","以工","承上启下","跃升","万多公里","福利事业","延续","管理权限","工程质量"","
"8","江南","电网","安康","""第二","加剧","民心","控制区","承包","金融体制","由家","首问","平乐","内外","专业","年前","光彩","特种","经济损失","满意度","名胜区","老","弹性","农业","万件","""新型","黄标车","
""十一","亿元","城镇化"",","抓","艺术创作","两千","国有土地","净水","对非","
""扩大开放","内贸","行等"
"9","赣欧","铜矿","聚力","光学","几年","乱罚款","屯级","特殊政策","并存","集聚"",","价","通货膨胀","
""齐心协力","道路交通","引咎辞职","九次","人才辈出","气力","""生态","枢纽","尽责","自强不息","做好","
""务实","新钢","武装","共产党员","政府","海昏","封禁","态度","阔步前进","网格化","一二三","
""多渠道","果断","重拳","合并"
"10","引进","工程项目"",","地下","荣辱观","后勤保障","企沙","股","""优化","流域","股权结构","诚实","迫切愿望","尾","返贫"",","绿水","服务网","减速","完善"",","忧患意识","削减","指标体系","殷实","增强","初级阶段","救助","民办学校","奋战","完善","道","优强","健康"",","企稳","水"",","土壤","致病性","大塘","开展调查","分担"
