"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"1","合力","经济","永久","安排"",","干预","凡是","迈向","增效益","负责","劳务输出","额","贯彻执行","民办","企业","期盼"
"2","如期","工作","拒腐防变","标准","实践证明","脱硝","负责","
""努力","业","名牌产品","节庆","期望","
""行政","群众","""发挥"
"3","侨务","重点","干渠","""城市","就业人数","危房改造","镇","超低","万人次"",","供排水","边远地区","泰","自治","力度","党风廉政"
"4","沿江","增长","保留","不动产","无水","提交","园林","中介","分析","第三轮","跟踪服务","民营企业","所在地","资源","中小型"
"5","负债","改革","妥善","普及率","""以人为本","屏障"",","精神状态","入户","分不开","经济区","双十","政务信息","税务","建立","预期"
"6","网站","实施","洪涝灾害","阅读","pm","新工艺","花山","监管","第九次","新风","公正","有色金属","布局调整","资金","双重"
"7","用来","社会","消极","航空公司","审核","无线","专户","外送","优秀作品","cepa","截污","奢侈浪费","广泛开展","目标","很多"
"8","驱动","农村","街道","顺利","电力","
""建成","律师","磷","玉米","留给","京津","非典","盐业","深化","和睦"
"9","五县","亿元","文化","""积极开展","肇庆","优质棉","第十四次","现代文明","博会","脱贫致富","缓","大楼","糖业","努力","助推"
"10","改进","提高","星云","原创","要带头","功能","放手","转移"",","央企","放缓","审批权","申请","一半","综合","昌河"
