"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22"
"1","重点","由年的","看","铜牌","住","先试","超市","石城","省院","增长","昌河","社会安定","查村","群众","基础","位","多件","调减","审查","不失时机","种子","管理工作"
"2","经济","军转","倒逼","商贸","流浪","子孙后代","容错","通行","金融体制","工作","求真务实","总面积","年月日","市场","公司法人","资本金","优良传统","奎","政治文明","专家论证","自治","观光"
"3","改革","海域","营利性","城西","严格执行","省区市","原料","主辅","一票否决","社会","新闻","管理科学","防艾","完善","建房","勇于探索","方针政策","先","绿色通道","法纪","职务","歧视性"
"4","提高","学生","办公用房","治区","晶","气候变化","接收","珍惜","上下游","实施","地质矿产","交汇","三分之一","经济","状态","待遇","人大常委会","产品价格","农药","唱响","政绩","汗水"
"5","农村","广西大学","技术协作","昌","集中统一","日趋","质量第一","煤制","办复","工程","康","澳门","全域","保障","调运","铜镍","民力","更为重要","部署","自来水","仓储","外向"
"6","企业","不负","校园","产后","均衡","稻谷","热切","竞争能力","千村万户","产业","内高班","第十二个","民主法制","城乡","监督制度","带动性","荣辱观","畜禽","生态效益","亿多元","办成","守信"
"7","亿元","基调","台湾","诊疗","积极支持","产供销","低速","贸易额","一次性","就业","地为","骨干分子","库车","努力","本专科","授予","无望","之区","广州","竞技","锦标赛","聚集区"
"8","投资","藏区","翻","建制镇","安心","永磁","赣浙","空气污染","工资收入","政府","决议","省情","之中","事业","空间规划","留有","建立","充电","己任","事故隐患","入学","近倍"
"9","文化","津","分工","万个","每户","评审","令人鼓舞","优惠政策","苜蓿","支持","民族乡","政务","保持良好","推动","新城","第六","对户","证","总体水平","金三角","人才","幸福生活"
"10","教育","草畜","文山会海","乌洽会","保密","加上","拉大","国际航空","以旧换新","制度","改薄","改为","教","经济社会","沉陷","农村信用","通高","定点","连续性","赣港","桑","通讯"
