"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20"
"1","扩张","邪教组织","经济","消防","大有作为","工作","轮牧","自办","士兵","服务平台","服务站","进一步","饲料","消费品","保持稳定","高附加值","地勘","新村","环渤海","百万吨"
"2","合作伙伴","市场前景","社会","进一步","九年制","增长","决议","房地产业","露头","拓","建档立卡","百亿元","责","把握","贷款","公共财政","国省","分裂","补偿费","医疗机构"
"3","严肃性","多措","农村","解难","根本利益","重点","战略决策","发掘","侵权","绩效考核","保护环境","开","摩托车","鼓励","统一","十分艰巨","泸沽湖","九届","少生快富","渡"
"4","产业群","干警","产业","医学","目录","提高","沧源","塔里木","支柱","疏导","法律手段","走","加工能力","计划生育","最低","专线","核桃","刑事","山水","万家"
"5","文体活动","股权","项目","最优","产业带","实施","半","细化","高水平","参展","援","互市","丧失","力量","之本","旱灾","下放","交给","血吸虫病","力度"
"6","有机","自然科学","完善","评议","工匠","企业","战略规划","模式","引进人才","要带头","四期","方志","在实践中","建议","营利性","制高点","气体","维修","富有","预料"
"7","资源库","研判","就业","倾斜","大型项目","改革","考核办法","抓住","民俗文化","示范县","加速","登记制","西出","积极开展","选派","劳动合同","刚性","福建","下跌","下大力"
"8","条块分割","富有","体系","额度","煤矸石","亿元","污水","市场准入","造船","筹办","全科","九个","特困村","无党派人士","慰问","经济损失","民主制度","提取","主战场","低效"
"9","带头","成本低","支持","电煤","贫血","政府","柳江","危旧","收益分配","至都安","资源型","彝","社情民意","提质","华东","边关","泛珠","配套改革","监督机制","公交"
"10","利为民","福利事业","农业","蔗","吃饭","进一步","羊绒","返贫","好收成","双十","积极主动","核准制","不利于","预警","超低","根本性","勤俭","粮棉","系统性","企业法人"
