"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39"
"1","西出","科技咨询","新品种","商","台阶","严格执法","隐蔽","汉语","稳固","房子","创汇","四五","负债表","进社区","土坯房","等七大","进一步","激发","更为重要","石墨","沾","建镇","关闭","保密","云电外","知法","桥头堡","零增长","资金流","经济","种粮","荣辱观","落户","工程机械","行","办好","自住","开工","尊重"
"2","婺源","应届","中华文化","每人每年","风尚","集中处理","负面","出区","拥军","能效","很大","建立健全","社区服务","国","半导体","外部环境","文化","公交","继承","约","要准","和衷共济","政企","空间布局","行路难","促使","福利事业","跨海大桥","共产党员","工作","投工","创先争优","道德","精心组织","海昏","以城带","定为","升级","就职"
"3","物业","江湖","宏伟蓝图","党的路线","边远地区","浓厚","适合","医科大学","亿头","时限","华东","直通","重大成果","内部","相通","四横","能力","差","过上","出资","棚改","精密","矿区","可操作性","住所","於","精河","多条","蒙能","增长","后证","本外币","再融资","青少年","后勤保障","经济合作组织","配套工程","体制","家属"
"4","深入调查","伶俐","安全网","义务","科学院","态势","充满生机","公园","南昌县","异常","财政管理","庸","旧车","出口商品","着眼于","总理","领域","推介会","天合","看病","消费信贷","开发新","有限公司","认缴","团","会商","运动员","岸线","石材","社会","净土","珠江三角洲","人工智能","技术支持","巡视","每百人","自觉","覆盖","十二五"
"5","体育运动","封建迷信","万人次","更是","不断改进","增值","学科建设","厉行节约","优良作风","扬尘","粤港澳","私有","户数","骨干企业","本级","千家","中心","说","旅游景点","气体","全疆","毛绒","政绩观","福建","捕捞","经营型","百户","重大进展","中印","重点","敢","权重","气化","煤炭企业","下达任务","汲取","民间组织","各族人民","名镇"
"6","盈亏","大型项目","能耗","增长幅度","懂","面上","后花园","度假区","新钢","玛纳斯","煤","公用设施","所有权","架","活","刚刚","推动","航站","托底","十次","个人信用","用权","港务","烟花爆竹","借贷","市场供应","创","龙头","法纪","提高","经济繁荣","分担","医疗保险","探明储量","石榴","博士学位","脊梁","文化产业","危害"
"7","农民工","贴近","第八届","知名企业","力戒","和央企","执业","锅炉","孵化","办实事","重大胜利","乌兰牧骑","矿产资源","这场","装备","客运专线","民族","大气污染","钉钉子","村点","不思进取","大好局面","个旗","周期","重振","降低","增长速度","高标","德","实施","节约资源","上升期","骨干分子","高峰论坛","下调","许可证","庄园","提供","培育出"
"8","维修","法定化","兴办","文盲率","劳动者","修志","刑事","时代特征","虚夸","摆到","记录","不减","十二届","涉及","缓慢","视察","改善","依法行政","保护环境","油运","液化气","家庭经营","塔里木河","七是","罪恶","八步","企业","安装","出路","改革","稳步增长","铟","航班","输水","汉族","多元化","行政监督","金融机构","整理"
"9","优做","合作开发","所谋","边关","税收收入","公用事业","政策法规","产权保护","克扣","创立","行为规范","倍","学籍","山","发布","国际友人","优势","松懈","矿权","下游","吉尔吉斯斯坦","报销","经济作物","兑付","蓬勃开展","有错必纠","区直","字号","兴安盟","农村","棉花","柳工","事业","非烟","差别","技术水平","强基","搞好","产业群"
"10","金牌","购并","智造","种子","三网","达家","施政","废物","以往","广场","拉大","调水","农用地","兆","感情","第八届","铁路","管理科学","愁","地缘","趋于稳定","民主化","牧场","当量","宜业","生命科学","小勐养","名医","全域","企业","部际","伦潭","管理人员","光辉","位居","二年级","出海","达","委员"
