"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18"
"1","行政村","恐怖活动","光纤","择业","土壤污染","政府","整体素质","这是","工程","真","复转","妥善处置","引擎","汤显祖","空间布局","业绩","政绩","经济"
"2","坝区","无愧于","说实话","生物质","正视","开放","八次","价值体系","新增","固定","投资额","银牌","达家","制品","高速公路","关键设备","杠杆","工作"
"3","年产","事业","转移性","规矩","资不抵债","扶贫","进程","自强","战略","控制目标","集装箱","钦防","住房条件","新线","棉纺","精简","马来西亚","增长"
"4","学会","耗能","多式","义不容辞","事情","控制","组织化","果","能力","大胆","下坂地","遭遇","回应","坚定信心","两","煤田","法律意识","社会"
"5","年月日","切实","县乡","安康","失学","高速公路","拥有","部署","着力","战略决策","引智","帮","城市污水","航空网","糖","购车","中医","实施"
"6","加密","充分考虑","提交","逐步完善","考核办法","条件","两化","走向世界","城乡","黑恶势力","外部","交易","二元","会商","岩滩","地县","前进方向","重点"
"7","丰富多彩","外销","合法性","万多户","客专","战略性","课程","世界贸易组织","事业","励精图治","燃料","鄱","扩散","气热","坚强","供需","解难","改革"
"8","投资","依规","互动","带头","民心工程","龙头企业","南岸","输电","中心","东盟自由贸易区","赛里木湖","分级","校企","盐碱地","健康","地表水","意见建议","企业"
"9","消费信贷","旅游胜地","产业化","结对","共克","深入开展","教","生命安全","大力发展","通电话","省内","转轨","县域","低价位","总数","锰","原因","提高"
"10","时期","调处","理财","制假","入住率","事项","明年","远程","农民","节地","明显改善","之中","扩招","交易会","拳头","矿业权","弊端","农村"
