"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39"
"1","总支出","急剧","北海港","中医","不利于","""区域合作","以个","至罗","之气","扶助"",","教育引导","土地出让","战场","认真总结","地质公园","劳有所得","经济","煤","对话","摸清","饮水困难"",","支援","短期","决策程序","调蓄","儿童医院","知名度","群众团体","""平安","爬坡","回乡","全线","爱国","文明执法","政府","建成投产","六项","一批","一标"
"2","长远","处理率"",","岩画","择校热","温家宝","圩堤","教育疏导","以党","技术升级","矿产品","凡","发展潜力","石城","第一位","七项","画派","工作","战线","油","能耗","样板"",","加成","玉米","县区","中泰","""健全","配套","种草","无毒","基础设施"",","坂","德智体美","光学","兴桂新","水平","
""交通","机","合作","层面"
"3","定居","""以人为本","生物工程","丰硕成果","
""农业","多办实事","盟","坡","宗教政策","天山南北","港澳台","工艺技术","四级","重任","塔什库尔干","饮食","增长","
""高度","行为规范","
""区域合作","深入开展","招生","腾讯","界定","税制","老区","前年","第至","初高中","赔偿","孵化器","""回顾过去","迎接","种养加","教育","学年","更具","城镇","联"
"4","献礼"",","非典","个人账户","诚挚","校园","铜板","冷静","进村","渎职","置于","项目法人","资格证书","操作规程","引发","维权","生","社会","规范市场","用房","多边","缺乏","解","深挖","无线电","结合点","辐射面","通气","红军","""工业化","网络设施","灭火","电讯","良好形象","钢铁工业","群众","成交","硬件","改造","兴安"
"5","实话","两次","克难","显现"",","赤峰市","奋力拼搏","
""工业化","转户","商品流通","十届","信托","
""肯定","猪肉","低","公办","稻谷","企业","""我国","卫生保健","置","
""企业","书写","离任","加速","拉动力"",","排污","缩短","三清","坚信","经济杠杆","重大胜利"",","想","妇幼","百花","工业","总和","衷心感谢"",","结构","减少"","
"6","加工量","近年","事件"",","坚实基础"",","鄱阳湖区","""激发","服务区","劳动合同","减产","热潮","工作力度"",","二要","建成投产"",","宝贵","活跃"",","涨幅"",","重点","银牌","备战","购","时尚","""统筹兼顾","真贫","省直","证书","普","这道","危险废物","摩托车","东北三省","偏高","最具","
""保护","阿尔及利亚","做好","煤炭资源","高端化","切实","灵魂"
"7","持久","重工业","户均","二氧化碳","排污口","能源消耗","过境","人工智能","集团","提效","最严","北疆","个人信息","保健网","熟悉","相","提高","补偿费","维护","亚欧","安全观","基多","巨大成就","用药","转岗","省长","普遍提高"",","各个环节","亟待解决","
""始终","会展经济","敌","珠","委托","综合","""认真落实","资源优势","着力","气象预报"
"8","风情","工程建设"",","投机性","主力军","气热","更是","火电","独生子女","四化","配气","清河","替代","钨丝","上升期","网络管理","军民团结","实施","频繁","品牌意识","资本金","华北","家具","减量化","许可证","有所提高","后生","萍钢","创业园","私营企业","保健食品","服务室","售假","产销","回头","加大","安居房","时期","事业","羊"
"9","平果","实业","出入境","进港","融通","二要","
""代表"",","开发利用"",","工业"",","蒙甘界","兴牧房","欠发达","区分","业主","留学生","办事处","亿元","由元","
""估计","来得早","肩负着","先照","工业","文莱","崛起"",","施保","立区","行必果","马列主义","方便群众","保密","新动力","着眼於","专业人才","增强","乳品","基层组织","中国","察"
"10","百家","丧失","十分激烈","拨付","节","浙江","项"",","打出","越南","吉安市","日趋完善"",","鉴定","摸得着","政银","广覆盖","体育场","农村","个户","
""导向","影院","状态"",","固边","生产能力"",","儿科","合理安排","今年底","即期","文化名城","制丝","医治","四年","征用","滥用权力","第十二届","保障","""环境","通屯","各项","最优"
