"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49"
"1","柳","技术装备","摇篮","食品药品","不实","党政","学费","全线通车","管不了","酒精","隆重","易发","整车","上涨幅度","团结一心","执法水平","向心力","房地产","重点","合并","暴力犯罪","适度","相结合","道路","贸易额","铲除","音像","倍加","群众利益","宜业","经济","检查和","动能","县市区","战略思维","中心站","前行","由年","昂扬","不实","不懈努力","赣龙","弄虚作假","接轨","赣抚","法人","轨道交通","封育","政协提案"
"2","分工协作","三中","节地","富民","第十三个","十年","万头","跟进","证书","煤矸石","讨论","城川","高调","泥石流","产权交易","汇报","亏损","劳资","企业","一如既往","圈","外环","走势","业绩考核","墨玉","两届","高等级","要实","贡献","曲折","增长","着眼於","航班","承上启下","航站","联营","发展史","在校","之情","符合实际","创汇","医患","六十周年","孵化器","互促","準备","旅游业","严打","区党委"
"3","第三方","助","成分","兼顾","空气污染","高新区","防空","均衡性","具体措施","寻常","致富","干部职工","总书记","佳绩","伊犁河谷","节柴","文献","气体","改革","与时俱进","分宜","江河","隐性","通路","回落","开港","广度","自觉性","小额","扶志","工作","新人","主动性","相配套","人口普查","表现","超前发展","牵引","控制力","差异","爱心","使命感","镇村","服务行业","港航","扶微","马列主义","天气","证券公司"
"4","所系","长珠","环境保护","恒邦","中低收入","真抓实干","过头","非公","粮农","金融中心","交融","技术开发","油田","境界","毫不放松","交往","民政","国家计划","亿元","薄板","补短","环节","自贸","放在心上","离退休","瞪","批评","列为","负责","急剧","社会","力求","立城","金谷","波动","故事","养老","桂北","拒腐防变","减贫","变中","资金","不断丰富","边陲","建疆","调整布局","课桌椅","增值税","流程"
"5","的市","警务","美化","集体主义","改灶","风沙源","市及","农村居民","五期","兴","种种","集体土地","专项经费","荔浦","娱乐","持久","防汛","区党委","农村","考核办法","一点","语言","地名","要活","远程教育","东三省","营利性","村口","房","千百","提高","有个","一口","聘请","达个","入股","铁南","永磁","艰巨性","每万","置","网络管理","金安","滥","扩区","apec","红树林","商品流通","伟大事业"
"6","干好","市级","免税","世博","公职人员","信用贷款","出版事业","免收","例","二十年","汇","近万人","骨架","管道","德天瀑布","择机","联运","驻村","文化","优化结构","废气","项","振奋精神","凝聚力","妥善处理","痛心","问政于民","呼伦湖","多年","转型","实施","惠科","落实到户","怠","东部","采取措施","毒品","帮扶","不断进步","高起点","法制宣传","历年来","利用效率","质检中心","香料","争得","自然规律","家庭经营","复明"
"7","客观规律","统揽","橡胶","榆","成事","借助","获得成功","冷冻","大楼","所办","林场","出资人","颁证","包户","实景","关键在于","业主","分级","工程","限额","接轨","治政","保税","产权保护","兵地","补助费","职","预见","底线","科学研究","产业","轧机","高职","阿克","楼","矿山","港口","低消耗","达万人","打假","定为","中国移动","展开","小湾","压","恐怖分子","区域间","紫金","创造力"
"8","百年一遇","异地","洪涝","第七","不稳固","经营型","取","宝石","强化措施","帮教","云南旅游","工业原料","原煤","百花","过货","推向市场","水流","取缔","加大","约","中介","场站","颁布实施","京","华","分行","愿望","保卫战","艰苦奋斗","责任制","完善","大大增加","消灭","有害","市场秩序","避","食品","教育经费","本外币","虚拟","民俗","棉纱","地勘","国有制","七彩","缅孟","外资项目","省图书馆","路径"
"9","高品质","毛","接访","正确认识","大灾之年","制药","收付","公正廉洁","特产","至桑","在城镇","天保","航站","到村","试","百科全书","类水","水路","创新","政策法规","终端","生态村","对敌","月底","开垦","全国政协","物质基础","三千","纠纷","矿山企业","投资","效能型","接替","改观","额尔齐斯河","讲求","公立医院","五中全会","博会","名牌战略","置于","联合社","赛维","征","理解力","换挡","纠","咨询会","珠"
"10","双千","外资银行","转移","评定","对下","回应","个户","单体","这方面","抗税","化解","经济林木","人口数量","环线","行政区","奉公守法","世界纪录","安居梦","水平","名城","高速","职工队伍","民力","精细化工","提档","冷","第一次","摸清","具备","江铃","制度","车马","憨","管控","营业","事端","宏观政策","万多","退化","博士","第十三次","节约能源","正站","镇级","河池市","声势浩大","财政监督","烧碱","并联式"
