"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24"
"1","向家坝","加工业","北","产品开发","防沙","加紧","婺源","科技攻关","敢于","修","承载","收缴","第九届","法制环境","供求","""计划生育","经济","流感","双双","企业","转企","传递","加","赣台"
"2","扩容","利","扩股","枯竭","处突","校长","产后","空间规划","号线","自豪感","近万人","加密","克服困难","生态","辐射力","保护性","增长","本科","研讨会","提高","安全监管","入手","全局","第五个"
"3","新生","文风","信息安全","总支出","推诿","股票","个人所得税","路线","到户","服务型","大有作为","着手","核算","所系","出版物","""取消","工作","加大","离任","社会","试点工作"",","税金","党政","生产方式"
"4","督办","开发"",","以质取胜","投资额","广度","都","市区","人才"",","兴农","故事","党政机关","审批权","讬","黑恶势力","英才","牢","农村","入滇","水能","亿元","以管","网络"",","人流","大局意识"
"5","咬定","例","村办","百日","找矿","康","第二期","幸福感","村口","推广先进","筹融资","规章制度","网络平台","银川","
""认真落实","媒体","实施","全局性","固体废物","完善","欧洲","
""发展壮大","怒江州","济"
"6","大好局面"",","责任制","低温","""法治","动车","国省道","住房补贴","宗教","情为民","还要","废弃物","抵御","抓紧抓好","社","接轨","落","重点","压","外币存款","项目","宜州","共有","研究生","志"
"7","
""广泛开展","直升机","套种","推出","辐射面","平台"",","原始","""做","可望","增量","导航","基本面","克隆","依据","授权量","四大","产业","快于","物业管理","进一步","博会","血吸虫病","集中供热","健康成长"
"8","整村","美术馆","职务","白沙","喝","信贷政策","
""面对","远洋","证券公司","水质","污","净增","回头","碳酸钙","企","产能"",","工程","以个","城镇化"",","创新","本外币","以大","冶金工业","马山"
"9","""政府职能","公司法人","富港","兑付","二要","水东","深感","婴幼儿","最多","地级市","懒","伊尔","签订","链","
""财税","展望未来","文化","建党","民主制度","管理","消化","出口"",","巴马","适宜"
"10","奶","电解铝","数","""十是","一场","永远","确立","星云","事业"",","""生态建设","周","加工业"",","生产线","问计","塔","
""金融","就业","""牢固","品德","改革","战线","内外贸","新机遇","家园"
