"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38"
"1","约束性","复杂多变","试点工作","cepa","南向","刑事犯罪","东北","第十二个","半停产","民族民间","腐","十九","规范性","新昌","西津","根据上述","服务性","通用","经济","隐性","医","办公","银川","产业","闲置","d","新村","税收政策","治理整顿","保和","不出","京九","轨道","核准制","服务项目","内外贸","病虫害","石化工业"
"2","盗版","极为","罚没","光","降低消耗","空气","歌会","报销","小草","援外","辅业","多式","迎难而上","示范带","网络覆盖","古建筑","舆论","万辆","工作","经济运行","房价","落后面貌","存栏","政府","聚力","体察民情","授予点","万立方米","普通商品","宗教事务","十届","尊重","片区","主导产业","随机","经济损失","普惠性","血肉"
"3","赣东","租","死灰复燃","大学生","过货量","工商","下一代","崭新","展开","大于","农村教师","绝大部分","设区","跨入","铜板","欧","重重困难","选址","增长","山水","辜负","用水量","石城","合作","降","加以克服","涵养","材","电力工业","承担风险","加大力度","起步","鲁","引发","分不开","陇川","特许","迫切需要"
"4","主轴","电站","安源","农村居民","食","求快","遗留问题","天","限制性","难点","减轻","商业中心","十一","只争朝夕","家属","远程","团","个人帐户","社会","产品开发","分享","重塑","遴选","综合","畜牧业","宝贵","洱海","管廊","异常","青山绿水","肯定","额尔齐斯河","轴","郑州","常规","中共江西省委","破坏活动","沉陷"
"5","深山","三大","划区","煤制油","城管","水产品","辐射力","马克思列宁主义","姿态","地勘","用心","委员会","城市防灾","事件","免收","街巷","顶层","铅锌","实施","请","禽蛋","重用","市容","生活","立省","解决问题","科技交流","科技咨询","助学金","大化","初中生","最优","政令畅通","诸多","独龙江","特种","普及率","损毁"
"6","逐步推进","厦门","南京","梯度","第十次","科技含量","管理局","水泥路","社科","舞蹈节","量力而行","结对","水面","高调","零售额","第十六届","南亚地区","交易会","重点","叶尔羌河","外商","重庆","网络化","人民","宏伟蓝图","依法治国","光辉","抬头","扬尘","烈属","质询","健康成长","扩能","做好事","雨露","优惠政策","服务行业","编修"
"7","津贴","就业机会","严防","属性","节能产品","稳中有","河堤","发电厂","份额","统一","党组织","置换","港澳地区","机动车","分担","之气","协议","病","企业","绰","下乡","展现","起草","科技","报刊","识别","前要","谦虚谨慎","以旧换新","劳保","塔里木盆地","天数","低碳","重大成果","时代特征","加上","务必","信息"
"8","医治","四季","主导地位","一倍","力保","传媒","织","能快","欢乐","力推","环境卫生","明显增强","提标","实施办法","圩堤","清欠","承办","倾听","改革","战略地位","贸易总额","至关重要","预备","着力","逆势","救灾款","迫切","管护","信贷","总值","矫正","过坎","接轨","注册","说实话","供暖","自然遗产","同治"
"9","代价","锂业","新一届","行政区","蚕茧","保险业","壮丽","科技开发","三四","调入","造船","工作队","节余","储蓄存款","信念","重大任务","工","信誉","提高","未来","检查","道理","富士康","开发","柳汽","快于","好头","实效性","执法监督","春","接种","南博会","围栏","告别","制药","直供","克隆","柴油发动机"
"10","严厉打击","搞活流通","分支机构","欣赏","倾听","合理流动","公用设施","衣","含非","炒作","国际金融","奋进","辍学","歌舞","不动产","一手","十六","服务性","农村","商品流通","限期","兑付","指针","特色","有碍","涉外经济","做强","撬动","红色","环湖公路","寻乌","法律意识","出口","元阳","岛","共同进步","不通","河段"
