"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43"
"1","科技事业","企业主","印","节能产品","提高","长洲","欧菲光","勇气","省份","萍钢","区区","经济","医疗器械","潭","努力实现","理论体系","次贷","多层次","疏通","尼尔","画派","双双","勤劳","草地","中南","困","聚焦","南博会","养","六寨","科技馆","武定","内外贸","践行","辉煌成就","苗木","援疆","农村","烟","三张","获准","困境","脱硝"
"2","看病贵","三条","準备","跨年度","改革","辽","着眼点","中心镇","做强","小草","案","工作","下拨","个人所得税","注重实效","复垦","作业","手工业","早日","配送","稻谷","绰","事中","原有","聚力","出区","更为","村容","根据上述","冲突","政策法规","融资难","科技推广","良性","滥用","储粮","修志","创新","示范作用","优强","塔里木盆地","总人口","实验室"
"3","地震","五级","两国","山洪","文化","良好条件","传递","享受","公路网","请予","稳扎稳打","增长","进中","跟踪","切实可行","限度","联合","公共数据","部省","净空","大中城市","平等竞争","税金","奋发进取","取向","大关","碳酸钙","大有作为","抓紧抓好","城管","左江","互通","上升期","率均","找","提高效率","强劲","城乡","跟踪","技改","庙","联通","孤儿"
"4","之多","地中海","执罚","注册资本","体系","第一产业","咬定","钢材","体","排除","昆线","社会","之情","质优","类产品","写","拥军","治乱","港区","区内外","邕江","舍饲","福利","要稳","和县","领取","时限","随迁","立党为公","犯罪行为","兴区","电动汽车","车用","燃料","拉动力","根本性","勇","投入","受伤","服务区","现代文明","考试","霍林河"
"5","萌芽","加以克服","中西亚","极端化","机制","香港","床位","洋溪","乐业","来疆","由省","重点","最少","空中","施行","柴","作业区","专项斗争","劳动报酬","毛绒","现场会","公正","暴力犯罪","铜板","食品工业","生态型","铜墙铁壁","客车","余万","电商","大办","钽","安装","建房","隐性","高新产业","给排水","铁路","展示中心","网上","满","卷烟厂","党执政"
"6","走私","加工","老挝","区外","提升","拍卖","出版事业","法治","资源配置","多方","工厂","实施","载能","诸多困难","交流活动","相配套","宽带","科技咨询","不断完善","城川","开源节流","公共资源","硕士","服从","产前","利用外资","孕育","互惠","高龄","富余","开办","五次","邮","长治久安","文化馆","公交","节地","健康","至桑","革除","同口径","一票否决制","有户"
"7","村主任","依法打击","扭亏增盈","外资","结构","重化工","连丰","石墨","升级换代","厉行节约","云岭","企业","东欧","供","亚种","适宜","江钨","劳有所得","教育引导","直播","巡视组","兰","商品价格","深刻","重大任务","药","奖牌","集宁","优惠","条","农事","唇腭裂","细毛羊","化肥","首要任务","多年","雄风","深入开展","足球运动","技术咨询","金融服务","物业","德治"
"8","寸步难行","属地","增多","总数","支持","省份","金属","戍边","金融资本","商贸业","人为","亿元","百项","评价","废渣","地方性","筹建","市场供应","技术含量","孔子","收窄","学院","大灾之年","修编","战略目标","干渠","两路","组合","到家","挂包","交通运输业","广告","比阔气","做出","科学院","严厉查处","稳中求进","和谐","散","优势","高寒","四次会议","地位"
"9","代建制","价格指数","星火","转制","经济社会","尽可能","大中小城市","工业化","两个转变","兆瓦","十六","产业","待遇","之冬","亿千瓦","关联","全面提高","标煤","总数","联合开发","罗","凝聚力","任重道远","公铁","打招呼","基本国策","所系","增加","经营规模","生活必需品","医药产业","邕宁","三分之一","图书室","小汽车","国债","大中城市","稳定","用为","形势严峻","溪洛渡","充分认识","小金县"
"10","基石","政权","未来","社科","切实","开港","抵边","良法","有令不行","条子","尽早","政府","音像","乐","年薪制","严峻性","种粮","初见成效","微型汽车","阔步前进","区及","西双版纳","评比","京九线","石化工业","团组","生物质能","多发","滥","海堤","圩堤","高个","稳居","两届","养老金","锦标赛","布病","城乡居民","排位","集中反映","发展趋势","安置工作","奥运"
