"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46"
"1","重点","标準化","崛起","教育疏导","聚集区","力促","好收成","村委会","百强","相互促进","壮族","多万名","酒精","芳烃","法轮功","清真","单晶硅","孟","柴","机遇期","全科","外向","意愿","工作","防汛","提标","甲型","市场营销","脱贫致富","城市防灾","涠","必","从政","博士后","培育出","啤酒花","之大","主动","事故责任","农牧林","炼铁","政策措施","马山","计算","深","组合拳"
"2","农村","高品质","数据","三五","农运会","文件","职能部门","各项事业","近年","十项","能效","基金会","树皮","关丹","黄桶","办学","实绩","讲好","边界","授课","注册","趋缓","微利","社会","文明礼貌","神华集团","东巴","电力工业","什","狠抓","物流园","骨干网","中南半岛","玉龙","群","体操","目的","统计调查","夺得","自建","深","机场","软硬","增加收入","乙二醇","照章"
"3","经济","患病","高端","每生","羊绒","治本","地条钢","国际航空","太阳能","汲取","力","贷款风险","申遗","防御能力","征税","创业精神","以盟市","拨款","安心","液化","成绩","西津","下行","提高","一扶","了省","涨价","第三位","升","访问","减量化","北部","疾病防治","风气","亿吨级","受灾地区","五位一体","低等","联欢","取缔","健身活动","改进","考取","差距","忠实","东乡"
"4","就业","汇报","展览","气化","南向","边疆地区","万多","调整期","服务设施","保护地","挪","废气","滥用","反馈","税源","相通","已定","安居梦","代管","社会公德","高度","氨氮","恳谈会","实施","盟","积极性","尖锐","较慢","重大胜利","造船","岩","天蓝","更大","用车","输送","抓得","待售","过渡期","区域化","初高中","侵犯","生育","绿水","行动计划","阳宗海","有法不依"
"5","完善","比年","老师","立区","以水为","过大","银行贷款","二极管","界定","现行","婺","非均衡","团结奋进","苗木","探险","珠","护边员","血液","理政","分配制度","老百姓","推动","提级","亿元","通气","柳汽","生物化工","桐坪","应对","较为","回头","前期","国际足球","直面","药交会","融资券","入赣","圣火","主旋律","万伏","环境优美","切身利益","雄风","非金融","体","财政补贴"
"6","文化","依赖","健体","新理念","基石","社会教育","思想道德","消防安全","海外侨胞","固本","东华","见到","虚报","预算外","紧密联系","新设","云南大学","革命先烈","欠税","并购","投入使用","急诊","老干部","企业","助","铜箔","新起点","煤矸石","财经纪律","电力供应","音像","奢","四项","效应","不高","抓实","记录","链","相一致","修造船","主导地位","丝绸之路","经过努力","农房","明确提出","奶业"
"7","政府","撤销","训练","紧迫感","诚挚","普洱茶","超额完成","调","治疆","内设","封顶","施展","组合","陇川","可靠","万公里","热电","呼图壁","分解","表面","高等","白鹤","厅局长","增长","海铁","坚韧不拔","参股","的县","氛围","一家亲","各界","购租","a","迫切需要","烧碱","发工资","搬进","天山","双创双","高产","干净","正","专利申请","通水","南昆","粉碎"
"8","进一步","半导体","严重危害","大有作为","辜负","宜居城市","党政机关","消费水平","中流砥柱","关键时刻","排名","引向","消除","质优","幸福感","固体废弃物","场地设施","主体资格","总投资额","紫金","个点","高峰","大姚","工程","业务量","新宜萍","高等级","华诞","扯皮","收","新路子","瀑布","航电","遗留","灾区","殷实","境内","电化","街道社区","起到","趋势","均","金安","宏观管理","予","维"
"9","产业","就业门路","精心策划","制订","户用","大中城市","博物馆","解难","原产地","急","第五次","高职","糖业","番茄酱","乡镇","驻","友好人士","家底","自年","重要依据","报账","滩","酒店","项目","加力","甜菜","伟大旗帜","麦","调水","近万人","主导地位","精打细算","人民","疆电外","储备","地质公园","指战员","任务艰巨","谨记","分享","门路","村镇","钢","审核","权利","缴纳"
"10","改革","节材","高档","之中","节能产品","新疆生产建设兵团","证券市场","复员","贷","手软","丝路","大理市","连锁店","临床","顺利","产地","东北","清水河","毕","力气","专项经费","机","总体目标","经济","敏感区","道德规范","具备","挖掘潜力","保健网","三公","技术升级","两票","区位","净水","湘桂铁路","引导性","脆弱","内部结构","甫","以质取胜","精干","零","大楼","十六","价值","反哺"
