"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44"
"1","养殖场","大力加强","强制","赛事","敬意","诚挚","投资额","乳业","成果","工作组","基本建设","回落","经济","减产","收缴","现有企业","多样","平稳","保护措施","日趋","质量第一","外交","吴圩","原煤","工作","政府办","公司法人","结算","自贸区","防汛","福利","产品产量","长水","保安","考核办法","品种改良","无私援助","独","昌河","可控","民俗文化","外资企业","完备","陆路"
"2","走私","保障体系","五个","龙门","正派","强力","沙尘","艰难险阻","建设繁荣","成本上升","好头","市场运作","增长","水能","贵阳","忠诚","净增","重大任务","举","名村","教育疏导","恢复性","众创","年是","政府","管理局","引入","汇报","西电东","涨幅","改增","华商","优质稻","直供","深感","硬","摇篮","滇东南","诈骗","配套措施","浙赣铁路","民房","自然遗产","免疫"
"3","奥运会","准入关","医药","留","温泉","足","独立","亿美元","自建","京蒙","红线","分级管理","社会","万多个","铝电","规范","战胜","说实话","中成药","主导型","灌区","出版物","休","增多","项目","科研项目","夺得","知名企业","美好前景","医务人员","咖啡","央企入桂","治桂","三月","蔬菜基地","直达","后勤保障","经营机制","外向","中央财政","护岸","有限公司","不稳固","省内"
"4","才","服装","舍饲","排污口","较好","龙","新亮点","物质文明","个性化","彭泽","沿黄","四年","提高","双控","牧","电力","网络覆盖","二级","土坯房","困","首要","所惑","祥和","之本","教育","理性","信息流","储量","示范作用","退","二等奖","城川","排放","新人","警示","曲","财经纪律","基因","兴办","频发","体操","服","指针","投劳"
"5","世界遗产","农事","成熟","津贴","场地设施","大灾","鲜活","科技事业","人寿","陆地","日常","林果业","实施","五县","一场","热爱","广电","人民警察","比上","富余","深入人心","盟市","文得根","农业投入","一批","多谋","激励","民族","月份","特别","略有","付费","涉外经济","足球","骄","大旱","一支","就要","限额","专业性","膜","商品化","盐碱地","讲好"
"6","水富","差异","总人口","执法监督","呈现出","水牛","持股","千万","程度较","低保户","兴滇","集团化","企业","流出","清廉","减不增","年桂台","助","塔里木","逐步推进","来信","生物化工","家业","畜种","生态","电石","破产","并联","蚕茧","趋好","专项斗争","积蓄","对外经贸","科研人员","超高压","沙地","支柱产业","中列","于田","灾区","标本兼治","广场","责问","全科"
"7","贴息","南湖","黄金","东西部","奖牌","承诺制","稅","参会","
""代表","评价","正气","东欧","改革","巡回赛","刑事","西双版纳州","浦北","税源","凸显","强化食品","筹办","同等","灵魂","烧碱","政策","冶金工业","国有制","壮族","马克思主义","用水量","各条战线","重叠","幸福生活","联系群众","麻","卓有成效","塔","大青山","惠","基","非常规","公厕","研究生","截留"
"8","出省","残","承担风险","冠捷","根本性","十运会","方针","越要","有害","对象","三峡","发现","重点","洪涝","小企业","全线通车","国家电网","资产","洋溪","职工","山水","莫","优出","超采","水平","实用技术","国庆","吉音","管理模式","偏重","形势严峻","向省","滩","着手","技术咨询","青山绿水","笼子","分成","边海防","苦干实干","水质","大户","师资","喀斯特"
"9","菜篮子","同城","柳钢","服务团","充分考虑","浓郁","联合国教科文组织","抑制","亟待解决","o","周","农机","农村","种养业","服务体系","出列","效果","温家宝","黑臭","资源共享","贡献率","坝","掌","水利水电","国家","动车","交通安全","黄标车","资金流","白鹤","医","接轨","闯","共青","亚欧","百姓","第十四次","税法","共性","多种经营","锡盟","末梢","贫困县","将军"
"10","产业基地","新路子","公平正义","职工队伍","省直","长洲","对标","授予点","能耗","国务院","渗透","编制","亿元","百千万","丝路","省际","各项事业","办复率","集体企业","欧美","乐","一堡","冰冻","微观","做好","卫生机构","总统","缴费","安全网","谷地","扩","民用","大灾之年","集体经济","相通","致富","大接访","之快","落地","村主任","核电站","不因","初中班","新风貌"
