"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38"
"1","国道","产权保护","严格要求","改增","班列","中期","力度","利税","总播","第十次","武宣","海外侨胞","供排水","财政政策","齐全","恶劣","裂变","经济","双园","冰雪","紧缺","优抚对象","国家标准","国际","新一代","换","月份","管人","福利事业","颁布实施","民族平等","调整机制","原则","最多","康体","科学管理","主产区","驾驭"
"2","缺点","地级市","荒地","权能","认缴","终身","合作","泰","发达国家","沿线","现行标准","大气污染","优生","民声","中方","赣浙","弥足珍贵","工作","活跃","良性循环","翻了一番","核算","意志","接访","出版事业","机动车","价值","疫病","立足于","比上","纵向","兰州","成交额","招聘","小龙潭","出口商品","乱罚款","经纪人"
"3","改厕","筑牢","托幼","排第位","宜林","猪","新增","涉","区位","铁合金","检","分配","插手","储粮","人口普查","公安干警","限批","增长","配套工程","思","降碳","患病","迈进","户籍制度","排污口","奠基","冬季","建档立卡","之中","岭","四次会议","陆海","电厂","舒适","常规","日本","优强","严管"
"4","外销","流失","武夷山","充分就业","红河州","低于","科技","劳有所得","力求","喜人","调运","只争朝夕","盆地","爱民","家庭医生","村","保密","社会","煤","传染性","煤炭行业","呼市","翻两番","收购价格","中华","一票否决","玉龙","单独","边远","烟叶","援","又快又好","承包地","纸","稻谷","近万","民族特色","大灾之年"
"5","风尚","最快","物业","滇桂","良种","过快","水平","建党","运输","比赛","共生","大力推广","由元","四项","废弃物","清查","严峻考验","实施","电子化","两手","固","审批权","岱海","愿","加剧","培植","布局","渠道","援疆","扭亏增盈","金融体制","智慧","以人","独立行使","一村","新居","归宿","弹性"
"6","工业污染","hn","储量","派遣","多万","郁江","中心","首长","农村教师","牛奶","专款","东区","修建","立足","永远","养老保险费","代表性","提高","课本费","令行禁止","半","暖心","代理","人身","办理","银政","快递","一所","造血","牛","总支出","共产党员","天更蓝","缓","对内","扫黄打非","共识","拆"
"7","钢","查办","创业","公厕","产后","守望相助","活动","空间布局","歧视","所得税","人才资源","占到","杯","标准煤","百项","吨级","达成","企业","画派","不为","合作社","企","改变","兰","规","类型","增势","街巷","中俄蒙","监管区","特","疆内","贫困户","赣商","外资银行","兴旺","风景线","物流园区"
"8","运行","碳循环","对下","加工区","借鉴","句号","技术","沿海经济","不稳定性","初中生","妥善安置","合作经营","投资决策","湛江","焦点","花山","枯竭","改革","有害","时机","均等","县市","处罚","领导","强力","全力支持","技术创新","石城","庄严","能效","院","曲靖市","应届","放宽","科学合理","百户","废弃物","彝"
"9","循环型","有限公司","一条","一盘棋","轮牧","持久","生产总值","产供销","衢","缺位","精细","织","蒙药","攻","茧","最为","奋进","重点","粗放型","转轨","弱","罚没","内部监督","收缴","预报","抵御","海洋资源","街道","软件园","注册资本","无私奉献","财产性","塘","探险","网络管理","十六","财产","盐"
"10","人流","信息技术","派出","第四","宪法","低收入","规范","改建工程","信息网络","认清形势","研究所","商会","繁育","寻乌","信息反馈","主流","承包经营","农村","欺诈","营利性","拥有量","第一批","亏损","华侨","小区","实用","安全观","畜","光电","事故责任","之大","交易平台","第十二个","内外资","群众","农村公路","体制","脱困"
