"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36"
"1","苏","重点","专项斗争","座","出边","一并","定力","轻工业","厕所","乳制品","同心协力","玛纳斯","工作","优越性","名牌","社会","南向","船舶","和谐社区","工业园","公平","蒙西至","综合体","损失","超常规","长洲","涉及","之年","城市规划","月底","区党委","省域","调配","主体工程","发动机","健康成长"
"2","从总体上","企业","印","煤层气","留人","难事","和顺","整","看得见","化为","简化","为个","经济","额尔齐斯河","援外","项目","深","切入点","打假","拒腐防变","证券化","惩治","始终","参公","地理","强弱","所需","什","医学","音像制品","之情","发电量","云桂","要带头","多层次","免收"
"3","注重实效","改革","一等奖","艺术创作","西电东","荣辱观","政务信息","三农","公众","全委会","粤港澳","加以解决","实施","公共信息","大兴安岭","制度","收支","集体土地","轴","南宁市","配合","传销","牧草","金盾","怠","瞄准","控制力","汽车产业","快捷","反腐","有法不依","一视同仁","总需求","直供","产权制度","大型化"
"4","宝钢","政府","民族自治","愁","荣获","峡","树皮","借助","实际效果","边境线","法制观念","各市县","亿元","不减","身体健康","稳定","物资","干部群众","采选","省份","增产增收","第三条","优质棉","重创","树牢","上升期","奔小康","交流中心","私有财产","意义","传导","意愿","社会效益","勤奋工作","外交部","不搞"
"5","农药","工程","烯","废除","起义","石林","统筹规划","轮作","高校学生","同登","港区","冰箱","农村","星星峡","态度","经济","窑厂","产地","表彰","无害化","生等","公交","极度","班轮","全疆","合同制","战略重点","卓有成效","不骄不躁","对外贸易","中蒙","区内","配套改革","优势互补","三支","佳绩"
"6","呈贡","进一步","抓手","压","出版发行","碳酸钙","林农","发证","城乡建设","深入人心","投用","住房","水平","关键设备","请省","就业","执法","央企入桂","钽","颁布实施","恶劣","比年","粮田","增长极","保持稳定","基数","北京大学","价值链","烧碱","孤残","产","危","羊绒","探明储量","投资总额","人道"
"7","两大","完善","医疗保险","工商户","满意度","医疗保障","联接","青秀山","广东","洪涝","城市排水","蔗糖","增长","罕见","系列产品","生活","内河航运","股权结构","停车场","办厂","人尽其才","城等","周末","贸易总额","外部环境","增发","补助费","以管","经济协作","产权制度","纵向","稅收","宁蒗","执法不严","二线","从严"
"8","节材","增长","北岸","四要","疫情","日报","订单式","拼","合并","加工能力","京","合校","力度","勇气","信托","工业","微型汽车","程序化","公检法司","防线","倍","导致","试点单位","特岗","招收","钱","不宜","之多","五小","茧","尾矿库","港澳台地区","糖料","百色市","航班","结合部"
"9","滥","产业","共圆","高潮","追责","跑道","双赢","讲求","服务区","如期完成","抗震救灾","补水","生产","铝合金","多出","落实","中国移动","承诺","权力观","教学质量","阳宗海","无线电","余条","法制环境","总体目标","偷税","习惯","独生子女","古建筑","兆","兵团","林场","于民","译制","足够","军政"
"10","承前启后","提高","水库","侵害","石化工业","较差","京九铁路","五种","勇于创新","思","独立自主","品德","群众","典型示范","山地","服务","管线","有益","就近入学","政令","评为","洱海","品牌效应","敬业","土壤","马铃薯","沪滇","文章","预备","恩格尔系数","打造","救援","五次","致贫","舒适","预见性"
