"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34"
"1","软件园","同城","一届","交换","成立","进一步","经济","共治","辅","生态化","深感","和睦相处","内蒙古自治区人民政府","
""水利","陡坡","西江流域","
""调整","根本利益","畜","阿尔塔","淘汰","精细化","于田","春雨","专利申请","语言","低产","出海","意愿","富宁","修建","志","黑恶势力","不严"
"2","少生快富","安全事件","可比","十六","流感","农业","工作","难题","统揽","中低收入","居民收入","治国","分流","退牧","罚没","飘浮","致病性","转让","团结奋进","""启动","
""本届","打响","督导","亲临","污染环境","全线贯通","""对外开放","廉租","百日","""七是","柴油机","分流","人工","紧紧"
"3","马车","昆明市","澳门","监管区","集中供热","水平","增长","德治","重大胜利"",","设施"",","六中全会","市场"",","生态园林","基础产业","企沙","落地生根","宜州","灌溉","新动力"",","由元","
""以人为本","果断","抵御","策划","天然","着眼点","
""继续加强","莲花","常住人口","第三季度","课题","指战员","应用型","牧业"
"4","为本","包括","油","阵痛期","海拉尔","力度","社会","籍","大榄坪","物流园","多于","预测","入园","晋冀","士气","小康生活","至关重要","金融体制","桂西","供排水","一场","""肯定","财政投入","过程","倍增","第三届","粮经","圩","务求","社会"",","家"",","受灾人口","万千瓦"",","驻村"
"5","并网发电","党的路线","横","文化教育","必将","生态","重点","工程质量"",","法规","受理","华诞","奖惩","升格","企业经营者","尽快恢复","""市场","民间组织","军民共建","出口","百强","总体水平","原有","无私援助","关键期","就职","环境保护","国家"",","重点高校","区内外","图书","应对","新台阶"",","取向","自力更生"
"6","传递","瓦斯","培训基地","加","服务设施","城镇","企业","焕然一新","违反","负债","生等","集约","征询","进疆","客货","总支出"",","氯碱","抵押","因城","典型","""拓展","双十","东胜","添","舌尖","对待","沿海地区","心中","平息","检","交流中心","脱节","看好","法定程序"
"7","良好环境"",","行政村","光","种养业","进取","合作","提高","生铁","拳头","落后面貌","创年","封锁","互信","出口"",","安置工作","新线路","件"",","才能","市场竞争","降到","忠诚","轨道交通","发挥"",","港至","石","防线","增产增收","之广","办班","补偿","
""十二","
""继续抓好","旺","互联互通"
"8","失职","两化","上海","天然气","农林牧渔","人民","实施","充电","对下","饲草","严控","特困村","职业院校","新港","策","""精准","省里","软件","半停产","一部分","金属","各方","""一批","贸工农","初具规模","渎职","欧菲光","首要","项"",","""为民","
""保障性","启动","怀化","经验"","
"9","消费水平","""政府"",","推介会","十年","大气环境","做好","改革","奉新","煤层气","官","配备","庄严","人寿","更多更好","施行","""战略性","柔性","粗放","采收","高出","增值"",","投工","医养","缓坡","进口","出版事业","煽动","农户","犯罪行为","尽职尽责","尽力而为","本届","航班","缴纳"
"10","管事","卓有成效","支农","精湛","关联","资源","农村","""应对","向北","父母","体察民情","省内","数万人","经营方式","讬","两手抓","武警官兵","安置","""惩治","体育场馆","两带","工具","经办","面","旧车","锅炉","再办","喜事","投产"",","国家电网","""政务","扶贫"",","勤俭节约","招投标"
