"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47"
"1","高潮","东湾","全线通车","遗留","湘桂铁路","增长期","正","作品","和顺","外国","证照","负担"",","工程","优质棉","勇于探索","强市","劳有所得","贫困学生","电池","银川","减产","西南","半导体","足额","骨干企业","去向","经济","遗留问题","铜板","号线","专家学者","交流活动","济","""三农","高利贷","宝钢","全面铺开","白内障","影响力"",","开发新","全线","武夷山","高等学校","再生","硬仗","杂费","第十二个"
"2","""综合","光彩","出口额","突如其来","集宁","地震","随迁","特产税","营业","培训","扩区","定价","加大","控制力","
""全面实施","典籍","互通","特岗","遭受","开征","还草","
""国防","全局性","公共场所","宏观政策","船舶","工作","十年","环评","退休职工","文明单位","两手","服务网","第四轮","牛肉","""鼓励","资不抵债","精湛","应收","二三","砚山","倍增","歧视性","空港","人数","发达","尊严"
"3","保有","布局合理","传染性","连通","尽责","做人","""十二","休耕","信","成交额","基本纲领","解放","生态","刚刚","等家","体育事业","控制能力","虚报","勤勉","犯罪活动"",","带头人","寨","反弹","民俗文化","管理人员","大军","增长","修复","年限","
""优化","一部分","关注","市场秩序"",","舌尖","南缘","""抓住","亿元"",","创立","交由","依法治国","锡林郭勒","流动资金","立党为公","""财力","出版发行","汇报","
""生态建设"
"4","干警","募集","英雄","催生","流通渠道","依法惩治","月末","差别","蹄","大新","侵害","适度","稳定","区"",","户口","金三角","中华文化","很","收付","欣赏","文学","农村信用","体育产业"",","高等院校","拜","队伍"",","社会","全方位","类产品","继承","出手","舞蹈节","插手","品牌效应","在内","""信息","多方面","紧紧围绕","万达","气象","和睦相处","才","地理信息","村支书","保护地","投运","城管"
"5","藏区","前行","守望相助","战略决策","红山","查","收尾","优化"",","合同制","籍","保证"",","职能部门","人民","企稳","园艺业","京福高速","促使","包头市","驻桂","挤占","入滇","粤","第四","精神风貌","倒逼","制度性","重点","经济指标","运营","兴滇","粮仓","各项改革","零售","项目"",","达产","同步"",","
""改善","技师","产出","单晶硅","接近","林木","农运会","核能","涌现出","身边","政策"","
"6","大容量","高能耗","投","产业群","各具特色","要稳","分布","文化"",","""平等","学杂费","通报","五七","生活","老同志","影视作品","
""宏观调控","基调","互惠","自律","创造力","违反","总体规划","予","国防","县通","西北","提高","奶农","趋好","走过","基金项目","二是","风险"",","砷","工矿","省市区","劳动人事","税利","队伍"",","蒙西至","免税","一台","校","古村落","户籍管理","优待","配合"
"7","革除","分步","喜迁新居","谋划","农村税费","路网","关联度","高考","底","民营","基点","美好前景","保障","老有所养","私人","""主动","吨级","获得成功","外贸企业","百年一遇","走上","入赣","中华人民共和国","定量","保护主义","日用","改革","中成药","充满信心"",","形态","黎湛铁路","沿海经济","供需矛盾","蓄能","保障性","效益型","巩固率","五五","万亿元"",","超前发展","筹备工作","失职","喝","交付使用","""健全","受益"",","空气污染"
"8","高举","相匹配","""中哈","梦想","严格控制","风景线","等级","全国人大","东区","""一批","艰苦创业","行业协会","增加","补奖","低保"",","石榴","严守","奉新","节水型","衬底","本科","察","科学决策","航程","纪念活动","拥护","农村","成份","面向基层","全会","人民武装警察部队","一圈","及早","优良品种","合理流动"",","浪费","绿色食品","
""构建","云南旅游","贫困生","车辆","市场"",","准入关","轮训","漂浮","中华","监督"","
"9","距","衔接"",","招工难","纸浆厂","破产","
""重大项目","沙漠","心理","职","党和政府","奋勇争先","研究所","努力","拉美","诉","道","等同","无毒","""生态","滇东","支渠","直供","燃油","确需","基本思路","提取","亿元","锌","夫妻","草食动物","无愧于","群众意见","前期工作","学法","干支流","主","务实","直升机","关闭","紧缺","村容","主管","内需","武宣","连队","都市区","不该"
"10","多谋","不因","清除","剔除","党委","这一","倒塌","优越性","六项","村落","造船","不减","结构","财会","诊断","风险投资","机具","冷链","飞机","五保","圈","护理","新型材料","百亿美元","调控","集中式","实施","铜镍","vr","南岸","村委会","儿女","行稳","廖坊","四所","垦区","品牌意识","合力","""民生","湿地","周","抬头","整村","之大","整县","崇左市","联合"
