"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46"
"1","会展业","新馆","纪念活动","国际竞争","年度计划","总揽全局","资","崇左市","处突","英才","高中班","南昌县","粮棉","即将","成交额","种养加","万口","作品","湛江","相适应","预料","路线方针","强力","印","施行","西江流域","老百姓","干部人事","备案","塔","坊","煤矸石","院团","失业率","清正廉洁","考核制","辐射面","经济","蒙医","布局合理","调动","社会","新闻","赔偿","两千","中央"
"2","深深","聚力","安全形势","牛羊肉","微观经济","创优","确认","中华文化","不好","生物工程","大江","经验","征途","武警官兵","较好","植树造林","聚集区","出手","上学","庭院经济","心连心","附加值","区域化","庆典活动","地矿","假","由年的","种种","开明","流入","塔里木河","所需","宗旨","保留","滨海","定","整装","改革","集体所有","教训","昌抚","工作","两种","热切","黄标车","市政"
"3","宗教事务","万里行","日常","经营机制","对策","参与权","汇报","一季度","稳定器","指战员","温暖","九年制","做起","机关干部","均等","市和个","报","生产率","勇于创新","以管","班子","大西南","覆盖面","用车","成员","国民","镇雄","待遇","乌鲁木齐市","之间","全国运动会","十件","金额","所系","加工","央企入","微利","亿元","映象","扬长避短","能效","重点","那坡","本专科","依法惩治","后返"
"4","创业基金","张","分散","翻两番","投资决策","专项规划","风气","作出贡献","接访","差别","业务精","毁林","转业","市县","纸业","台港澳","日报","利税","嫩江","非公","世人","战略目标","为政","火炬","远程","城市污水","永福","层层","烧碱","刑事案件","少取","营商","东北地区","南昌大学","贺州市","个点","基石","提高","公厕","赣州市","年月日","企业","严厉","空港","发展趋势","每生"
"5","甄别","地理信息","难题","达家","不少","矿产资源","京福高速","东巴","合格","查办","就要","创业园","公务员","进疆","接入","习近平","认真对待","辅业","大河","至京","一幅","节庆","需向","建党","德保","扫黄打非","多人","文","为辅","获取","严惩","显现","新旧","不良","开创性","世界杯","大县","政府","保险业","东湾","滚动","产业","达万人","一届","建镇","焦"
"6","有令不行","奥运","切实有效","三支","仙","宗旨","生态园林","外资企业","多名","分宜","南部","铜矿","评定","执法不公","风沙源","缺乏","严峻性","燃油","达个","报批","联营","着力","决战","贸工农","虚假","拒腐防变","阿图什市","六十年代","总结经验","实用","修","构想","自年","人文精神","和售","塔什库尔干","人心","工程","粮食安全","扭亏增盈","事态","进一步","居住证","遭遇","多万千瓦","衷心感谢"
"7","用为","体育赛事","头","菜篮子","跻身","控制中心","国电","期间","中后期","深入研究","策应","广西师范大学","相邻","通畅","改革","约束","厉行节约","刷新","误国","硬道理","挖","石嘴山","毕","不辱使命","接待","加速","已定","道德修养","较多","出版","飞机","轻轨","联欢","识别","懈怠","瓦斯","海洋","完善","国有制","档案管理","第四次","项目","稳定物价","电子商务","萍乡市","师资队伍"
"8","沥青路","三元","接轨","大力提倡","等同","标准厂房","生育","示范作用","购车","优生优育","到村","适龄儿童","统一规划","查处","微型车","入桂","转户","过错责任","保险费","点上","较重","华北","第十二个","科技园区","控股集团","幸福美好","曲","腐朽","不力","国","星星峡","列","伟大胜利","基层干部","传递","环境卫生","防护林","农村","正当","到家","美国","增长","第五届","兆","问政","消化吸收"
"9","十一","之忧","廉政勤政","社情民意","劳保","中等水平","平果","弊端","理财","列车","暴恐案","障碍","数字","职级","激情","稻谷","陶瓷","纤维","刘三姐","大陆","先照","禀赋","农","省区","财稅","地域","高校学生","彻底解决","景","多头","栽培","烯","提振","龙头","权利","跟进","利用外资","投资","复绿","集宁","品质","水平","工会","露天矿","非洲","特别"
"10","以大","销售总额","黑名单","管权","首发","岭","纸浆厂","直管","绘","市场潜力","天保","晶","征询","自觉性","两国政府","个市","壁垒","卫生防疫","柳江","融资额","万元以上","旧","入赣","相衔接","碰到","执行","具体办法","暨首届","名牌产品","专题","直升机","收购价格","划定","个州","摆在","统揽全局","嵌入式","实施","打捆","岩滩","通行","教育","走上","丝毫","职业培训","用电量"
