"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25"
"1","呈现出","无水","出入口","项目","校园","显著成绩","乐业","港澳同胞","较强","入境","残奥会","稳中","主干线","经济","行业","向省","公里","跨地区","重大意义","感受","源头","手术","筹集资金","取","支点"
"2","着眼","体育","凤凰","抓好","求变","波动","泰","游牧民","投产","欧","农村税费","励精图治","绰","工作","引智","集群","吸收","获准","评为","俄蒙","升格","劳动报酬","生产","违反","亲"
"3","零部件","以工代赈","增效益","稳定","返贫","旅游节","十一","信贷政策","滇西北","精河","筹备工作","大江","撤并","增长","萌芽","先照","矛盾","宜居城市","凝心","成效显著","伟大祖国","民族区域","新上","公厕","友好"
"4","社情民意","体会","突破口","综合","减免","贺州市","活跃","必将","方向","三支","安定","荒山","数据中心","重点","密度","腐败问题","道德","艺术创作","自强","集体土地","孵化器","边疆民族","石墨","矿井","省运会"
"5","跃上","安保","并联","人民","委员","仓储","找准","密切相关","古建筑","通勤","听证","百色起义","营造","实施","户籍管理","查","规范化","红线","占全","小学","坚信","严格执法","赛","新工艺","提高素质"
"6","元阳","宏观管理","紧紧抓住","能力","强镇","零售总额","备案","慈善","总结经验","村通","努力奋斗","高寒","信息流","企业","萍钢","难题","服务性","达个","优美","灭火","人员","带头人","党和政府","足","百日"
"7","铁合金","两手","增值率","规划","驰名商标","口岸","皮革","风电","奥运","职教","碳","深刻","亚洲","提高","尽力","自治县","统揽","时机","相抵","民俗风情","答卷","财务","转机","金融部门","十五"
"8","民族乡","必","扰乱","解决","封育","扭亏增盈","七支","多点","莫","观光","共享","节柴","海","社会","民用航空","沙漠","外力","专项规划","机器人","思茅","正视","理财","侵权","世界贸易组织","人民政协"
"9","萌芽","形态","百年一遇","特色","清单","基金项目","科学论证","稀","估计","福利院","党政","西津","所谋","改革","体操","开征","根基","二三","承前启后","信托","鄱","老有所养","供气","转为","群众意见"
"10","禁牧","免疫","进港","领域","说实话","大会战","幸福生活","化为","渠道","回首","分级管理","非公有","改观","农村","客观规律","开拓","流出","联合","数据库","轮作","杈","致以","兴国","低效","东线"
