"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36"
"1","支柱","洽谈会","纠错","普法教育","充电","""二是","教训","生","加大","木","债务","唱响","校长","新馆","防汛","失学","百项","律师","消费品","果断","出让金","好事","频繁","霍林河","装配式","第二台","经济","""基础设施","第四","道德","中小型","一套","五大","三次","进","交流中心"
"2","进展","发生率","总和","义务","街","态势","""切实做好","敬意","推动","去向","网络"",","跨越","查","省情","退耕还林","城镇化","""医药卫生","巨人","组织化","展望","延伸"",","犯罪活动","森林公园","阶段"",","
""牢固","河道","工作","空间布局","上年","头脑","兰新铁路","敌人","互联","浪费资源","终结","柳东"
"3","局部","信仰","过高","
""十三","学科建设","塔","兴桂","关口","水平","危机","尊严","调整"",","科技型","可靠","新线","河段","方案","
""稳步","到元","法人","粤港澳","十五届","赛维","农事","更快"",","位居","增长","白沙","阿拉善","特困户","降低生产","基地化","犯罪分子","岁","含","初步"
"4","""建立健全","幸福生活","妇女","""狠抓","""全面落实","扶贫帮困","鹿寨","""法治","城市","若干意见","双层经营","困难群众","裂变","乏力","荣辱观","扫黄打非","国库","精细化工","初次","客源","流动","严防","保费","直航","汉族","拆","社会","准","
""体育事业","通高","中医","稳控","免收","""三农","制高点","农民"","
"5","民主制度","党政","红线"",","衬底","富有","十五大","快于","饲料","生活","种种","呵护","常务委员会","走向世界","科研机构","区党委","瞄准","之大","黄河","扭转","机场","还草","孕前","调整结构","大胆","
"""",","特殊津贴","企业","制止","思想道德"",","生机","高潮","二中","有权","年金","购","文化"","
"6","特征","知","杞麓","黄标车","内贸","保鲜","财政拨款","联产","保障","退职","调解","包头市","滩","反","纪念馆","减排"",","四线","大排查","传递","无电","带","聘请","更快"",","就职","整县","深远","重点","咬定","晶能","认真对待","
""电力","莫","对户","大通道","聚氯乙烯","发展史"
"7","结构性","万伏","双线","职务","""回顾过去","土地利用","麓","看病难","开发","绿水","引强","恪守","华","""筹措","扩大开放"",","海堤","""这是","""一批","大会"",","出版事业","课程","非烟","""政务","抗御","良好氛围"",","接入","提高","艺术节","性收费","有效率","第十一个五年","一季度","用电量","民间艺术","恶化趋势","唇腭裂"
"8","收费","岛","贡献"",","组成部分","左江","微利","一业","水城","做好","
""人民","非政府","工商登记","""合理安排","开展调查","临港","富港","林下","基本工资","东欧","领先水平","遭遇","支","户","火灾保险","故事","差异化","改革","丝路","用工","查村","工资改革","负债","优质服务","实施方案","零的突破"",","捐赠"
"9","流失","从无到有","矿业","万立方米","主导","环境卫生","传媒","区直","结构","占补","人身","""一是","办公","直面","甲型","步子","总数","身体健康","星星峡","
""扶贫开发","半","进位","羊肉","前瞻性","转口贸易","cepa","实施","一部分","颁布","集散中心","工程机械","""千方百计","公信力"",","当头","
""大力支持","窗口"
"10","大唐","依赖","划定","自建","反恐","法律援助"",","共青","成交","环境","框架","边关","考验","红山","二极管","垄断","贫困人口"",","吨","看得见","依法治理","足球","开行","退化","八荣八耻","案件","
""文化产业","工艺","农村","舍勒","再生能源"",","崇义","""激发","收入"",","水泥","面向未来","统分结合","住所"
