"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34"
"1","税制","经开区","吸引外资","发","经济","不断丰富","访","江海","工资改革","奖项","抓紧","杂费","拓","职教","体育中心","为首","火炬","四要","铁","险","热水器","增长","决胜","信念","寻常","车辆","笼子","城乡","私有","桑蚕","可比价格","监管","沙漠化","之外"
"2","四级","发明","决心","入户","工作","直达","抗灾","划分","整体效益","资格证书","阳宗海","降到","余万","条件成熟","科学技术","年来","清产核资","波动","搬迁","平等竞争","亏损","企业","宗教信仰","留住","残","预见性","比赛","实质性","内部","实事求是","山地","三位一体","水口","财经"
"3","带动性","办实事","武汉","采选","社会","企业经营者","国资委","前进方向","旅客","行使职权","发挥作用","组团","刚性","师生","知识分子","侵犯","五象","公立医院","初步成效","不正之风","入住","改革","江河","交通设施","原创","原则上","不搞","较少","积极开展","黔","结合点","到位率","古","友好人士"
"4","云南大学","相比","生态园林","一议","重点","下乡","多办","首府","行政诉讼","村个","谱写","滇东南","农牧民","主力","品位","接收","充实","涉外","集体主义","十五","守望相助","亿元","休閒","砚山","作业区","二产","滇沪","村级","中南半岛","高效率","铺轨","开通","四群","专家"
"5","海运","以个","调减","小汽车","实施","棉纺","产品产量","近几年","半导体","坚决执行","边界","抑制","分配机制","如期","标准煤","打造","反馈","科技园","实话","消灭","兵","投资","乙烯","产后","放开","新线","所需","紧紧围绕","层层落实","至京","扫黄打非","居委会","集体土地","考核办法"
"6","福利待遇","天蓝","遴选","空港","工程","企稳","汶川","出列","外源","名义","方式","理论","干部队伍","克服","生物化工","第七次","办好事","筹融资","亿头","妇幼卫生","管护","就业","余件","公共服务","承前启后","自年","凝心","增进","专家组","情","群体","出拳","分支机构","用于"
"7","壮医","平均工资","势力","成本低","进一步","电力供应","苏区","法律援助","办公室","劳动密集型","市场潜力","断面","敷衍塞责","成效显著","知","快速通道","一类","有法不依","第二期","酒精","策","加大","短","舞蹈节","高度","成新","划上","隐患","黑色金属","之风","斗争","刘三姐","争做","治理整顿"
"8","低保金","弄虚作假","驻村","公共利益","产业","公信力","忠于职守","认清形势","主干网","献礼","更多","做起","六景至","八件","轻纺","工作者","营业税","降低生产","公益林","协商","相适应","管理","广大干部","共同奋斗","结转","士气","价格政策","议案","技术成果","多极化","硬","河堤","市场份额","当头"
"9","户口","努力提高","风险投资","电讯","提高","矿山企业","乡政府","恶化趋势","科学决策","初级","儿童医院","客家","家禽","万人","承载能力","持卡","新举措","西南亚","亮化","高寒","专题研究","稳定","工会","战略决策","一产上","尽快恢复","负债表","一手","政治协商","恶劣","知法","区直","包钢","工业原料"
"10","近万人","认真落实","行之有效","小户型","项目","开放市场","中方","铜业","践行","科技体制","报销","环境影响","曲折","广开","县管","三千","亿","一标","研讨会","航站","加密","政策","减免","空间布局","农超","限价","贫困面","地质灾害","获准","万多公里","保费","跑道","差别","微型车"
