"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28"
"1","工作","游客","甲醇","创收","新加坡","产业化","外商投资","义不容辞","价格上涨","严控","人民调解","施工","农田水利","强"",","经济","用来","倍加","边远地区","研发","计征","稳定增长"",","铜鼓","保鲜","宅基地","研究生","吸引力","不因","战略重点"
"2","改革","调优","进社区","事业"",","期望","近岸","考上","规章制度","身体健康","军警民","比较突出","交通运输业","减负","中国国际旅游交易会","增长","横向","不少","零的突破"",","勇于创新","自由贸易区","生均","优抚工作","""公共卫生","疑难","个人所得税","劳民伤财","本地","良好形象"
"3","文化","投产","世界","乳业","大好局面"",","推动力","奖补","逆势","缴费","""关心","荣辱观","废弃物","英","边关","提高","看病难","档案馆","金融部门","一届","就学","外向","认清","沙漠化","问政于民","拆除","制度性","支牧","保有"
"4","工程","发电厂","棉纺","供需矛盾","妇女","江钨","文体活动","污染源","""稳妥","负债表","兴安盟","末","济","建筑节能","重点","潜力","兴贸","
""繁荣","锦标赛","办学","班子","户数","辉煌","壁垒","大班","福祉","医生","偏低"
"5","体系","调配","本土","竞争力"",","重视","广东","代表大会","新高"",","锅炉","课题","石","勤勉","在职","深入研究","企业","需","以党","回应","励精图治","所谋","民用","土壤","每百人","乘用车","创造性","在内","三农","赛"
"6","服务","木材","双千","光彩","中医","一百年","原始","服装业","
""扶持","人口普查","旅游景点","知","服务站","忠实","亿元","鄂尔多斯市","光明","
""肯定","崭新","久","福利院","享乐主义","总量"",","基金","百","到达","浙江","撬动"
"7","市场","越过","万间","专家论证","反腐","人才队伍"",","降","及早","扶志","句号"",","政府","全额","优强","粘胶纤维","实施","空间","攻坚","责任感","呼声","亿吨"",","保险资金","""经济运行","产地","药交会","战略"",","主战场","闯","可靠"
"8","机制","中华人民共和国","省级机关","各项任务","亲临","支撑力","汶川","多项","提案"",","收缴","统揽","有机硅","造","蓝","社会","
""全民","报","既有","北海港","社会保障","服务项目","盟","光辉","
""十三","放大","投劳","新起点","萍"
"9","生产","闯","
""绿色","人均收入","三牧","致病性","盐业","宿舍","功能"",","施策","总理","战线","呼","军民关系"",","农村","力","合法财产","治税","
""大力开展","加紧","外币存款","运营","供销","视野","人大代表","可操作性","鼓舞人心","东至"
"10","政策","专款","走低","沿边","印","创业投资","工程建设"",","技术升级","本科","直管","一年"",","期望"",","荔浦","兰州","产业","质量检验","商品价格","油运","约束性","服务体系","乌鲁木齐市","勘探","符合条件","借助","期货市场","信息网","人才辈出","扩散"
