"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13"
"1","班","项目","开行","经济","打牢","继续加强","完整","强化食品","钨","物流","沉陷","百","城"
"2","历届","政策","工程款","工作","农户","屯垦","各方","农牧区","社会保险费","绿色","积极因素","火灾","艺术节"
"3","畜产品","改善","成","增长","获批","解","迎来","凝聚","安定","同志","基层组织","异地","外向"
"4","创造性地","战略","维修","社会","权威","联控","镇雄","符合","法定程序","大学","产值","上线","换届"
"5","留学生","生产","争创","实施","亿美元","征缴","限时","乙烯","纠错","竞技","院校","本领","普遍提高"
"6","乘势而上","消费","无愧于","提高","共同奋斗","干部","失职","违法违纪","三牧","物质","替代","森林抚育","倍加"
"7","套","治理","呼市","企业","文盲","海域","木","透明","打击犯罪","户","中西部","粮食作物","成人教育"
"8","贫困生","科学","物资","重点","播种面积","滇西","稳定增长","发动机","停产","职责","先导","大兴","身边"
"9","总产量","社会主义","篇章","改革","跨入","后期","三支","中石化","行为规范","带","城中村","互联","突破"
"10","通达","中央","焦化","农村","银川","汇报","永久","多头","普通高校","要务","例","新型农村","短缺"
