"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36"
"1","标准厂房","废水","支撑力","有机","机制","认定","较为","赛里木湖","起到","应诉","特","是从","最为","慈善事业","澳门","新型农村","显著成绩","抗震救灾","河口","高龄","基金会","地勘","会展经济","考试","火电厂","工伤","个人账户","特别是在","建党","经济","继续前进","居委会","全力支持","所系","不负","就业"
"2","遴选","零增长","不失时机","家庭医生","保护","一流大学","土","国电","设备","亲属","资本","凝聚力","一次性","自住","研究所","新的","产品","创造条件","产业群","前行","错误","两城","远程","技能型","津贴","包头市","外币存款","搭建","沾","工作","之本","里程碑","政协委员","解除","物流","抓好"
"3","各国","国门","勘察","森林抚育","旅游","具体措施","绘","收入者","下坂地","大专院校","营","吉林台","福利事业","河谷","乏力","电子产品","起步","理解力","意识形态","参与权","卫生所","农林牧渔","遗址","满意度","知名度","两市","文化产业","抚","公布","增长","超市","带动性","可再生","团场","白内障","市场"
"4","应对","清新","高起点","会议费","目标","江中","人","勤奋工作","创新力","财务管理","农村信用","客运站","高寒","上访","大灾","七五","奢靡","拥有量","率均","精","出区","事中","免税","精神风貌","播放","人民武装警察部队","保障线","渔港","单独","社会","技师","提前完成","奖代补","大接访","创业资金","能力"
"5","矿电","医药产业","选择","半农半","万人","行政区划","驾驭","溪口","具体办法","五要","技术设备","极端","热爱","大力提高","奠基","农业","工程机械","硬件","蓝天白云","一系列","脱困","留有","心血","信访工作","昂首","支牧","牧民","核心技术","区域合作","提高","东北地区","惯性","心连心","的是","用力","新增"
"6","转型","价值","集中反映","物品","新型","频繁","大于","服从","正确","存贷","林","特大事故","高等级","物流园区","茶叶","住所","中南半岛","除尘","血肉","加大","打基础","封禁","油料","银滩","压缩机","八次","减","名牌战略","党政","实施","固边","贿赂","争做","荒地","支柱行业","力争"
"7","阿尔塔","和顺","辍学率","乞讨","经营","人身","铝材","式","城镇群","校园","舆论监督","万人次","过上","救助金","湛江","环境恶劣","全球化","连队","酒店","双语","新批","引领","高等级公路","证书","态","团结一致","十届","至京","盈江","重点","担责","公立医院","总体方案","区划","大好形势","收入"
"8","海洋工程","地以","互助社","专项斗争","地方","运销","即时","私营企业","全运会","管网","国内","受益","准入关","纪念活动","待遇","无所作为","粤","期","七届","选择地","互换","妇幼卫生","筹","器材","生存条件","科学决策","国家有关","省界","汇报","企业","煽动","造船","运行机制","不好","活跃期","服务"
"9","培养人才","产前","水土资源","集团公司","产业化","城区","消费水平","传销","年月日","主题","入侵","国土资源","督察组","真贫","关怀","志愿","风光","改善生活","决不","立体","稳中有升","务工人员","既有","国","共同进步","缓慢","融资难","谋利益","人事","改革","储运","控制力","一项","四项","就地解决","建成"
"10","强制执行","区情","止跌回升","稀","优势","政协","富港","外资银行","无愧于","五七","茧","份额","问效","共命运","扫黄打非","全面解决","空白","职能","南宁市","失业率","财富","篮球场","发布会","计划指标","活","旅游","捕捞","向善","昆明市","亿元","虚","气热","法规","救灾物资","木卡姆","地区"
