"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49"
"1","政府","想","动态平衡","cepa","不思进取","名牌产品","经济","精简机构","知识产权","国情","昆明市","保障机制","资助","主动进攻","优良作风","核算","研究所","歧视性","亿立方米","近几年","高效","联体","在思想上","准东","机关作风","西津","投资","全国运动会","鹿寨","电化","韩国","八个","开展调查","被动","全科","风尚","周转","流感","德保","非营利性","隆安","初级产品","科学性","岩画","电解铝","质","赢得","第八届","城镇化率"
"2","抓好","商业模式","奎","央企入桂","求真务实","农村","工作","同步","七一","勐腊","援建","正以","汲取","征用","交由","良性","专用","上档次","洪屏","扭转","产加销","钽","新篇章","文化景观","群体","岸线","水平","科技交流","早","城乡","构想","网格化","即期","泵站","观光农业","形象设计","专户","人道","新能源","退役","烤烟","联社","柳州市","一事","典范","个市","税率","海事","庆典活动"
"3","服务","林木","露天矿","计划指标","盛会","分级","增长","亩","支牧","上游","诈骗","这片","采选","债券","外向","控制力","轮式","极度","为先","贯穿","货量","大程度","信息产业","创优","迷信","保障","国家","实验区","造地","二甲醚","由年的","简政放权","守信","规则","爱","遵守","税种","总播","出让金","末梢","做起","分置","歌舞","健康检查","决策程序","支付","合格","预计","以工"
"4","力度","人民警察","舍勒","求变","石墨","百项","社会","牛玉儒","监事会","上网","宗教信仰","民政","严格要求","卫生保健","利民","相匹配","溪洛渡","棉纱","低水平","物权","阿岗","强有力","外商","无效","京福高速","必","管理","国际足球","财税","银牌","看病贵","绝不能","泥石流","奔小康","延续","刀刃","文物","镇为","穿","强有力","农药","预算法","欣赏","开征","电讯","北海港","信息化","新品种","预算内"
"5","战略","重庆","正派","一套","首台","科技进步","实施","旱作","掀开","商品交易","严把","大地","物力","修补","亿吨","著名","推进改革","名列","泛","对台","培训中心","团","十届","劳动合同","征途","在短期内","工业","收","私有","缓坡","技术","产权","出列","区域","保险制度","乌伦古湖","瑞","名城","既要","大陆","变为","低能耗","排除","大有作为","自主","民声","高性能","信念","大气污染"
"6","努力","非农产业","硬件","总和","桑蚕","破除","重点","光明行","摆脱困境","走低","容错","友善","质优","营养餐","引技","资格","之力","宜居城市","才尽其用","技改","同等","载能","高科技产品","学前","岱海","河至","收入","山口","右江","抗旱","累进","平原","化学","强县","不动产","灌溉面积","公款","十一次","大藤峡","中国移动","材","大家庭","牌","到家","定制","放行","生机","大学生","低劣"
"7","开发","奋发努力","丝路","机制","思茅","法院","提高","汽车集团","基于","以下几点","畜产品","公用","立案查处","铁路工程","之中","围绕","人大常委会","恶化","vc","现场","财政投入","电力工业","洗衣机","监督管理","广电","政社","人均","威","才能","城等","展示中心","分布式","扩张","两院","高出","办事效率","来势","新宜萍","五要","重奖","梧","尊重群众","约束性","择业","发光","稳定物价","龙","人口老龄化","检察"
"8","增加","绿色","统计调查","林田","济","固化","改革","超高压","人类","令行禁止","千万千瓦","交通拥堵","诚心诚意","玉蒙","夺取","才","故事","下决心","畏难","轮作","见效","非烟","一杯","危害","除尘","联检","中心","联","还贷","勘探","边疆地区","老龄","拉大","关停并转","黄磷","高载","滋生腐败","灾情","里程","区分","瞪","和第","后生","强有力","打响","访问","内部矛盾","室","耕种"
"9","试点","地铁","百日","政党","并于","铜箔","企业","拥军","邪教","财政性","困扰","北部","革命先烈","留有","雷厉风行","毛绒","先进典型","透明度","不搞","一道","森林","奥运","储藏","华诞","第三步","航天事业","民生","丰林","危险","从无到有","特产","至关重要","消耗","排位","代管","无私奉献","重大案件","初期","逆势","当量","清华大学","冶","宜州","圣火","天然林","走势","万个","数据库","百亿美元"
"10","地区","中起","高起点","喀斯特","停车","武九客","农村","越过","发证","中高级","已定","灵活性","讲经","裁员","技防","民汉","储备","年前","高能耗","渝","抗旱","免疫","林权证","涉案人员","自治县","博士点","生态","试点经验","客","精神财富","伊敏","当地","加价","国际性","共青","服务器","运输业","脱","烟花爆竹","孔子","纲领","卡","非公有制","久久","稳步增长","苜蓿","二期工程","场地设施","创客"
