"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28"
"1","民族特色","独特","尽力","所有权","卡","社科","来疆","半停产","增势","表彰","科技攻关","突出重点","组织协调","工作","业绩","发电厂","增长","基本建设","前瞻性","破","个性化","革命","购房","研判","强镇","用活","力求","拉动力"
"2","执法人员","至关重要","农房","援建","立","劳动人事","梦","大型项目","奢侈浪费","共识","带来","私营经济","草案","社会","动员","劳民伤财","经济","科研","发展趋势","纠错","标準","失职","迪庆","省域","鹿寨","兴起","税利","快捷"
"3","促进法","诉求","花园","补水","简要","政企","洛湛","救灾物资","易地","详细","病有所医","深化","泰","实施","下一代","考核","重点","所在","数","年均","加工水平","振兴","首问","共生","交给","瓦斯","所惑","增建"
"4","审批权","统一","煤","条","排污权","高危","五级","计算","世界级","溪口","乌昌","链条","集体土地","政府","京蒙","充分体现","提高","富港","广度","蒙药","配送","种子","消耗","植树","维修","调蓄","协作","原则上"
"5","利民","个市","百日","施行","d","多元","旗帜","教师队伍","不多","互补","尼尔","临港","图","改革","活动场所","于民","企业","新篇章","新昌","专业性","威","星火","使","增创","预案","四化","考试","立足于"
"6","转移性","防病","国际商贸","星云","气体","领导人员","人员编制","存贷","一岗双责","增长幅度","小金县","切实落实","供排水","创新","希望","德治国","工程","证券","基本纲领","堤防","车马","南广","四中全会","柳江","平等竞争","迎来","反腐败","劳动合同"
"7","增资","江海","成人教育","门槛","身体素质","被动","消灭","示范性","卫生事业","种业","南昆","不予","g","管理","跃居","公路网","亿元","油田","旅游者","高校","交流中心","骨干教师","灾难","尽快","创业投资","文化素质","沼气池","办公用房"
"8","贫困面","配备","东风","圆满完成","路径","绝大多数","各市","审核","款物","以新","良性循环","农业机械","水产品","推动","监督制度","湖口","进一步","满","互利","第十三届","党组织","抢","地方病","海域","千吨级","精","政策","盲目"
"9","四川","弘扬","全国性","供水","品种改良","意志","更是","突出位置","东湾","力戒","六届","以旧换新","尾矿库","一批","积案","资","农村","多万","学会","森林","日用","医药","变电","政企分开","同城","创业者","妨碍","农业科研"
"10","精心组织","一流大学","文明礼貌","市及","市场经济","两手抓","转机","工程项目","旅客","重要性","着眼於","节本","充电","生态","优秀作品","本专科","投资","城西","光彩","集群","负债表","新动力","崇义","省份","相","紧密","泵站","单投"
