"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32"
"1","规模经营","增长","社会","灾后","第四轮","七次","治","广度","火电厂","食用菌","修改","腐","坚信","牧","偷税","行为规范","塑造","城乡建设","通勤","大型项目","脆弱","制品","债券","赛","东巴","特产税","商品流通","服务","关键设备","脱贫致富","同网","劳动生产率"
"2","第十届","经济","改革","立","赣台","所系","农村","和硕","优先","开拓进取","医科大学","药物","一人","之大","奋斗目标","证明","度假区","国际金融","达标排放","荒漠化","公路网","第八届","盆地","便民服务","终身教育","制度化","现有企业","送","勇于","市区","反馈","阵痛期"
"3","住房难","工作","政府","风气","介绍","明确提出","居委会","乱罚款","经济犯罪","零售","老有所养","法轮功","政事","汉","分置","绿水青山","多点","枚","思想路线","两翼","奥运","着重","调优","确保重点","高等学校","购","首批","锅炉","一流大学","所需","行政区划","周转量"
"4","各部委","农村","重点","麦","oo","十六","监督制约","三板","千村万户","原则","扩招","依纪","职能","横向联合","供气","退休","辛勤劳动","林果","精细化工","具体办法","残","图谋","扶贫济困","航空公司","彭泽","充电","金融服务","一步","铜牌","积极性","幸福生活","渠道"
"5","柑橘","实施","完善","单","武装","家庭经营","迈入","存栏","严肃处理","移民","低迷","前置","龙头企业","表彰","饲草料","心系","网络安全","险","声势浩大","整治","慰问","监管区","学科建设","迫切需要","走进","燃气","五定","社情民意","上大压","控制区","八件","评为"
"6","投贷","产业","文化","力求","二产","云计算","世博会","治税","安全可靠","策划","银行贷款","税收制度","重托","建筑业","滴灌","组合","新起点","百亿元","定期","律师","利为民","戍边","治国","养老保险","督察","事关","一业","厉行节约","就业门路","推到","奥运会","国际化"
"7","宝贵财富","工程","企业","自然灾害","明年","关口","融入","详查","湖草","年度","留","学科建设","排查","减灾","社科","沿黄","河口","难侨","充实","增长率","日新月异","托克逊","近几年","油田","职业道德","载人","安康","区域合作","豪","飘浮","农业机械","六大"
"8","港航","进一步","亿元","面对面","筹划","舍饲","辅助","真贫","用足用","附属","两千","看病贵","收付","铌","森工","先进","养老","工作者","物价","以呼包","农商","纸业","全面落实","永不","之间","理论","后顾之忧","总产","相邻","沾","阶段性","参保"
"9","歌舞","就业","体系","廊道","施政","数据中心","矿电","卫生所","城际","侵权","建镇","储备粮","校","铁海","诉讼","半停产","国际形势","五期","阳宗海","井","器材","塑","工农","宗教信仰","遭受","推荐","深入研究","架","肉牛","法制教育","公共事业","民族风情"
"10","小微","提高","教育","要实","自然生态","对话","心血","乌兰牧骑","认真总结","完整","集宁","印染","三张","世界","深入细致","万亿元","风清气","水文","发展史","全科","紧迫","非营利性","河道","日益","打假","庭院经济","煤矿安全","至京","备战","之多","博览","争做"
