"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24"
"1","项目","地方","所属","责问","预见性","侨务","经济效益","工作","交流活动","海事","农村面貌","一次性","戍边","有效率","我谨","城市防洪","主导力量","高新","天数","阐述","持续","智能化","农技","军警民"
"2","农业","中介组织","继续加强","造地","化解","汉代","敏感","经济","农信社","专线","妇幼保健","保险资金","方志","各界人士","林业","外国","种业","责任保险","京津冀","开业","铁路","贫困学生","林业","大局意识"
"3","能力","形态","烟","衡","必胜","自行车","食用菌","增长","塔里木盆地","渝","购买","前提","疑难","马铃薯","机械装备","送","动工","市场竞争","港航","咬定","精神","管护","势头","大事"
"4","城镇","始终保持","八是","政事","科","美术馆","要活","社会","一标","两年","标煤","开明","赛事","制糖","加工","亿人次","大楼","服务站","节支","牛奶","培训","特殊津贴","万吨","贴近"
"5","生活","推动","届满","交融","卫生保健","和平","体","改革","岱海","弄虚作假","照明","为保","申请量","村个","财税","涉外经济","万头","较为","符合实际","通村","配套","精干","枯竭","奖惩"
"6","综合","云桂","热切","养护","供求","回升","爱疆","企业","直管","拥军优属","会议","免征","低温","后勤保障","产品产量","劳动人事","四五","问计","明确提出","电解铝","医疗卫生","渔港","南向","编制"
"7","深化","编纂","培养","棉","公仆","中小学生","迫切愿望","重点","再次","配送","用地","兼并","目录","社会工作者","精力","盈利","阳朔","多点","工资收入","所得税","带动","体操","振奋精神","指示"
"8","落实","实际行动","感谢","看病","名特优新","第六次","十运会","实施","宏伟目标","市长","多亿元","蒙西至","功能定位","群防群治","高度一致","肉牛","雄风","分置","严控","总支出","重点项目","收到","鲁","困境"
"9","资源","客源","口","招展","干法","配套措施","趋紧","提高","司法公正","信誉","树皮","酒店","高新","前年","打好","行风","国电","终身教育","知识分子","惩处","草原","离休","银行贷款","明天"
"10","规划","新生","中共江西省委","不当","炼钢","新亮点","直升机","亿元","活","肉牛","北运","涉牧","先行","揭牌","公共利益","锡盟","浯","深入人心","年桂台","管事","移民","保和","凸显","零的突破"
